					郑州商品交易所期货每日行情表(2021-06-16)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA107 |4,688.00  |4,720.00  |4,854.00  |4,702.00  |4,832.00  |4,794.00  |144.00   |106.00   |7,036     |41,820    |-2,589    |16,862.19   |
TA108 |4,712.00  |4,752.00  |4,880.00  |4,728.00  |4,858.00  |4,818.00  |146.00   |106.00   |92,610    |57,182    |2,674     |223,087.74  |
TA109 |4,732.00  |4,780.00  |4,900.00  |4,746.00  |4,880.00  |4,840.00  |148.00   |108.00   |2,121,642 |1,713,790 |89,205    |5,133,062.76|
TA110 |4,782.00  |4,822.00  |4,942.00  |4,804.00  |4,922.00  |4,888.00  |140.00   |106.00   |66,348    |183,009   |3,506     |162,111.96  |
TA111 |4,794.00  |4,840.00  |4,952.00  |4,820.00  |4,936.00  |4,906.00  |142.00   |112.00   |8,660     |16,807    |1,870     |21,244.20   |
TA112 |4,812.00  |4,848.00  |4,966.00  |4,838.00  |4,954.00  |4,934.00  |142.00   |122.00   |405       |13,328    |49        |999.09      |
TA201 |4,842.00  |4,858.00  |4,990.00  |4,854.00  |4,976.00  |4,936.00  |134.00   |94.00    |228,795   |456,983   |25,787    |564,881.51  |
TA202 |4,858.00  |4,888.00  |5,012.00  |4,886.00  |4,988.00  |4,956.00  |130.00   |98.00    |152       |40,802    |-52       |376.57      |
TA203 |4,886.00  |4,906.00  |5,030.00  |4,852.00  |5,014.00  |4,928.00  |128.00   |42.00    |909       |31,976    |-720      |2,239.37    |
TA204 |4,900.00  |4,854.00  |5,016.00  |4,854.00  |5,012.00  |4,858.00  |112.00   |-42.00   |429       |7,117     |-422      |1,041.76    |
TA205 |4,906.00  |4,920.00  |5,048.00  |4,920.00  |5,014.00  |5,006.00  |108.00   |100.00   |2,130     |11,224    |496       |5,330.74    |
TA206 |4,906.00  |5,006.00  |5,006.00  |4,920.00  |4,920.00  |4,928.00  |14.00    |22.00    |11        |11        |11        |27.10       |
小计    |          |          |          |          |          |          |         |         |2,529,127 |2,574,049 |119,815   |6,131,264.98|
总计    |          |          |          |          |          |          |         |         |2,529,127 |2,574,049 |119,815   |6,131,264.98|
