					郑州商品交易所期货每日行情表(2021-04-06)
品种月份|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA104   |4,406.00  |4,372.00  |4,410.00  |4,372.00  |4,410.00  |4,392.00  |4.00     |-14.00   |200       |8,749     |0         |439.10      |4,356.00
TA105   |4,434.00  |4,392.00  |4,520.00  |4,366.00  |4,506.00  |4,444.00  |72.00    |10.00    |495,531   |883,167   |-62,676   |1,096,244.95|
TA106   |4,460.00  |4,466.00  |4,550.00  |4,392.00  |4,534.00  |4,476.00  |74.00    |16.00    |130,688   |45,595    |536       |292,504.66  |
TA107   |4,490.00  |4,444.00  |4,578.00  |4,404.00  |4,568.00  |4,502.00  |78.00    |12.00    |69,863    |61,264    |7,578     |157,221.45  |
TA108   |4,524.00  |4,498.00  |4,608.00  |4,430.00  |4,588.00  |4,536.00  |64.00    |12.00    |11,274    |8,737     |1,008     |25,566.15   |
TA109   |4,528.00  |4,488.00  |4,634.00  |4,464.00  |4,618.00  |4,558.00  |90.00    |30.00    |1,028,307 |1,588,697 |99,094    |2,343,528.68|
TA110   |4,656.00  |4,628.00  |4,728.00  |4,628.00  |4,720.00  |4,706.00  |64.00    |50.00    |549       |7,114     |216       |1,291.63    |
TA111   |4,684.00  |4,660.00  |4,720.00  |4,660.00  |4,720.00  |4,704.00  |36.00    |20.00    |1,704     |15,101    |152       |4,007.35    |
TA112   |4,690.00  |4,698.00  |4,752.00  |4,698.00  |4,742.00  |4,734.00  |52.00    |44.00    |213       |7,125     |-53       |504.05      |
TA201   |4,664.00  |4,622.00  |4,776.00  |4,606.00  |4,756.00  |4,718.00  |92.00    |54.00    |26,823    |158,793   |8,917     |63,271.33   |
TA202   |4,698.00  |4,662.00  |4,794.00  |4,662.00  |4,778.00  |4,752.00  |80.00    |54.00    |81        |20,052    |2         |192.46      |
TA203   |4,714.00  |4,738.00  |4,818.00  |4,726.00  |4,812.00  |4,780.00  |98.00    |66.00    |70        |4,707     |23        |167.31      |
小计    |          |          |          |          |          |          |         |         |1,765,303 |2,809,101 |54,797    |3,984,939.10|
总计    |          |          |          |          |          |          |         |         |1,765,303 |2,809,101 |54,797    |3,984,939.10|

