					郑州商品交易所期货每日行情表(2021-05-21)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA106 |4,542.00  |4,578.00  |4,586.00  |4,500.00  |4,526.00  |4,548.00  |-16.00   |6.00     |1,893     |22,938    |-1,018    |4,303.42    |
TA107 |4,564.00  |4,622.00  |4,622.00  |4,524.00  |4,540.00  |4,576.00  |-24.00   |12.00    |197,897   |126,972   |-1,318    |452,658.11  |
TA108 |4,596.00  |4,634.00  |4,642.00  |4,550.00  |4,566.00  |4,600.00  |-30.00   |4.00     |31,808    |28,047    |622       |73,152.83   |
TA109 |4,610.00  |4,666.00  |4,666.00  |4,568.00  |4,586.00  |4,622.00  |-24.00   |12.00    |1,717,336 |1,820,172 |-8,730    |3,967,820.42|
TA110 |4,704.00  |4,748.00  |4,748.00  |4,550.00  |4,648.00  |4,730.00  |-56.00   |26.00    |4,132     |38,516    |3,077     |9,773.18    |
TA111 |4,696.00  |4,736.00  |4,744.00  |4,658.00  |4,670.00  |4,708.00  |-26.00   |12.00    |286       |13,605    |31        |673.05      |
TA112 |4,696.00  |4,678.00  |4,746.00  |4,662.00  |4,670.00  |4,694.00  |-26.00   |-2.00    |369       |22,782    |-116      |865.92      |
TA201 |4,698.00  |4,764.00  |4,764.00  |4,662.00  |4,678.00  |4,712.00  |-20.00   |14.00    |103,452   |413,124   |1,933     |243,709.08  |
TA202 |4,770.00  |4,836.00  |4,836.00  |4,610.00  |4,704.00  |4,828.00  |-66.00   |58.00    |1,074     |46,943    |993       |2,592.90    |
TA203 |4,756.00  |4,844.00  |4,844.00  |4,706.00  |4,722.00  |4,810.00  |-34.00   |54.00    |1,657     |34,988    |938       |3,985.02    |
TA204 |4,758.00  |4,802.00  |4,802.00  |4,746.00  |4,778.00  |4,778.00  |20.00    |20.00    |8         |5,129     |-5        |19.11       |
TA205 |4,788.00  |4,818.00  |4,828.00  |4,736.00  |4,748.00  |4,784.00  |-40.00   |-4.00    |548       |536       |317       |1,310.65    |
小计    |          |          |          |          |          |          |         |         |2,060,460 |2,573,752 |-3,276    |4,760,863.68|
总计    |          |          |          |          |          |          |         |         |2,060,460 |2,573,752 |-3,276    |4,760,863.68|
