					郑州商品交易所期货每日行情表(2021-06-11)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA106 |4,584.00  |4,584.00  |4,658.00  |4,582.00  |4,658.00  |4,590.00  |74.00    |6.00     |1,576     |10,726    |-1,300    |3,616.58    |4,674.00      
TA107 |4,614.00  |4,616.00  |4,700.00  |4,590.00  |4,694.00  |4,640.00  |80.00    |26.00    |11,231    |47,051    |-5,115    |26,052.94   |
TA108 |4,638.00  |4,646.00  |4,722.00  |4,616.00  |4,718.00  |4,662.00  |80.00    |24.00    |87,413    |56,123    |-1,268    |203,752.48  |
TA109 |4,658.00  |4,660.00  |4,748.00  |4,632.00  |4,738.00  |4,684.00  |80.00    |26.00    |1,555,863 |1,643,779 |-107,630  |3,643,366.77|
TA110 |4,740.00  |4,752.00  |4,810.00  |4,700.00  |4,798.00  |4,740.00  |58.00    |0.00     |57,457    |177,145   |3,506     |136,143.25  |
TA111 |4,746.00  |4,752.00  |4,816.00  |4,718.00  |4,814.00  |4,754.00  |68.00    |8.00     |6,385     |15,226    |592       |15,174.19   |
TA112 |4,764.00  |4,764.00  |4,832.00  |4,740.00  |4,828.00  |4,766.00  |64.00    |2.00     |197       |13,340    |138       |469.37      |
TA201 |4,780.00  |4,780.00  |4,862.00  |4,748.00  |4,850.00  |4,790.00  |70.00    |10.00    |164,052   |418,430   |-16,167   |392,782.84  |
TA202 |4,818.00  |4,800.00  |4,866.00  |4,774.00  |4,864.00  |4,824.00  |46.00    |6.00     |1,324     |40,803    |-650      |3,193.51    |
TA203 |4,814.00  |4,818.00  |4,898.00  |4,788.00  |4,878.00  |4,848.00  |64.00    |34.00    |1,087     |32,716    |-300      |2,634.43    |
TA204 |4,846.00  |4,818.00  |4,886.00  |4,818.00  |4,886.00  |4,866.00  |40.00    |20.00    |5         |7,539     |0         |12.17       |
TA205 |4,836.00  |4,834.00  |4,920.00  |4,816.00  |4,914.00  |4,874.00  |78.00    |38.00    |1,126     |10,537    |-167      |2,743.42    |
小计    |          |          |          |          |          |          |         |         |1,887,716 |2,473,415 |-128,361  |4,429,941.94|
总计    |          |          |          |          |          |          |         |         |1,887,716 |2,473,415 |-128,361  |4,429,941.94|
