					郑州商品交易所期货每日行情表(2021-11-25)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA112 |4,850.00  |4,892.00  |4,950.00  |4,892.00  |4,946.00  |4,920.00  |96.00    |70.00    |2,685     |23,358    |-2,354    |6,603.28    |
TA201 |4,898.00  |4,916.00  |4,978.00  |4,910.00  |4,960.00  |4,954.00  |62.00    |56.00    |957,308   |849,770   |-44,355   |2,371,272.86|
TA202 |4,926.00  |4,950.00  |5,008.00  |4,944.00  |4,988.00  |4,986.00  |62.00    |60.00    |58,138    |337,389   |-3,583    |144,903.05  |
TA203 |4,948.00  |4,980.00  |5,030.00  |4,968.00  |5,010.00  |5,004.00  |62.00    |56.00    |84,003    |416,315   |-11,889   |210,184.79  |
TA204 |4,972.00  |5,016.00  |5,052.00  |5,010.00  |5,034.00  |5,028.00  |62.00    |56.00    |2,706     |29,813    |-89       |6,803.19    |
TA205 |5,002.00  |5,020.00  |5,080.00  |5,016.00  |5,062.00  |5,056.00  |60.00    |54.00    |202,319   |364,053   |331       |511,445.04  |
TA206 |5,004.00  |5,048.00  |5,080.00  |5,048.00  |5,074.00  |5,072.00  |70.00    |68.00    |37        |2,183     |-2        |93.82       |
TA207 |5,026.00  |5,072.00  |5,096.00  |5,058.00  |5,078.00  |5,080.00  |52.00    |54.00    |79        |22,821    |-45       |200.63      |
TA208 |5,028.00  |5,090.00  |5,106.00  |5,082.00  |5,106.00  |5,088.00  |78.00    |60.00    |18        |8,360     |0         |45.78       |
TA209 |5,058.00  |5,070.00  |5,132.00  |5,070.00  |5,114.00  |5,110.00  |56.00    |52.00    |1,689     |15,544    |6         |4,315.29    |
TA210 |5,100.00  |5,142.00  |5,156.00  |5,084.00  |5,156.00  |5,108.00  |56.00    |8.00     |13        |43        |0         |33.20       |
TA211 |5,128.00  |5,172.00  |5,186.00  |5,104.00  |5,176.00  |5,136.00  |48.00    |8.00     |15        |901       |3         |38.52       |
小计    |          |          |          |          |          |          |         |         |1,309,010 |2,070,550 |-61,977   |3,255,939.43|
总计    |          |          |          |          |          |          |         |         |1,309,010 |2,070,550 |-61,977   |3,255,939.43|
