					郑州商品交易所期货每日行情表(2021-03-09)
品种月份|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA103   |4,752.00  |4,620.00  |4,650.00  |4,552.00  |4,552.00  |4,612.00  |-200.00  |-140.00  |1,374     |25,492    |-361      |3,168.07    |4,638.00
TA104   |4,774.00  |4,686.00  |4,704.00  |4,542.00  |4,552.00  |4,652.00  |-222.00  |-122.00  |6,322     |9,699     |-1,144    |14,706.12   |
TA105   |4,814.00  |4,754.00  |4,754.00  |4,574.00  |4,584.00  |4,684.00  |-230.00  |-130.00  |1,766,999 |1,678,117 |-107,222  |4,138,389.25|
TA106   |4,844.00  |4,800.00  |4,800.00  |4,604.00  |4,614.00  |4,720.00  |-230.00  |-124.00  |243,831   |38,799    |4,387     |575,393.67  |
TA107   |4,862.00  |4,806.00  |4,806.00  |4,626.00  |4,636.00  |4,738.00  |-226.00  |-124.00  |57,015    |17,984    |-608      |135,050.23  |
TA108   |4,870.00  |4,810.00  |4,810.00  |4,644.00  |4,656.00  |4,750.00  |-214.00  |-120.00  |7,180     |1,189     |-64       |17,049.87   |
TA109   |4,898.00  |4,840.00  |4,840.00  |4,658.00  |4,668.00  |4,766.00  |-230.00  |-132.00  |676,042   |1,038,417 |18,191    |1,611,036.11|
TA110   |5,072.00  |4,932.00  |4,948.00  |4,818.00  |4,818.00  |4,904.00  |-254.00  |-168.00  |2,983     |13,137    |2,675     |7,314.65    |
TA111   |5,046.00  |4,954.00  |4,956.00  |4,804.00  |4,822.00  |4,896.00  |-224.00  |-150.00  |237       |16,942    |-18       |580.01      |
TA112   |5,076.00  |4,948.00  |4,958.00  |4,822.00  |4,822.00  |4,918.00  |-254.00  |-158.00  |260       |16,538    |-104      |639.20      |
TA201   |5,064.00  |4,986.00  |4,994.00  |4,826.00  |4,836.00  |4,932.00  |-228.00  |-132.00  |27,242    |109,499   |2,494     |67,184.06   |
TA202   |5,064.00  |4,984.00  |4,988.00  |4,856.00  |4,856.00  |4,950.00  |-208.00  |-114.00  |2,795     |5,928     |-2,483    |6,917.20    |
小计    |          |          |          |          |          |          |         |         |2,792,280 |2,971,741 |-84,257   |6,577,428.43|
总计    |          |          |          |          |          |          |         |         |2,792,280 |2,971,741 |-84,257   |6,577,428.43|

