					郑州商品交易所期货每日行情表(2021-11-23)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA112 |4,820.00  |4,828.00  |4,828.00  |4,778.00  |4,800.00  |4,806.00  |-20.00   |-14.00   |2,642     |28,758    |-1,257    |6,349.00    |
TA201 |4,836.00  |4,830.00  |4,850.00  |4,788.00  |4,816.00  |4,822.00  |-20.00   |-14.00   |993,675   |963,912   |14,039    |2,395,444.32|
TA202 |4,866.00  |4,864.00  |4,880.00  |4,818.00  |4,842.00  |4,852.00  |-24.00   |-14.00   |49,032    |345,536   |100       |118,940.83  |
TA203 |4,890.00  |4,888.00  |4,904.00  |4,842.00  |4,870.00  |4,878.00  |-20.00   |-12.00   |84,683    |419,354   |12,134    |206,537.34  |
TA204 |4,912.00  |4,906.00  |4,924.00  |4,870.00  |4,898.00  |4,902.00  |-14.00   |-10.00   |6,941     |29,834    |3,656     |17,013.30   |
TA205 |4,934.00  |4,938.00  |4,956.00  |4,896.00  |4,922.00  |4,930.00  |-12.00   |-4.00    |189,992   |349,635   |15,018    |468,211.54  |
TA206 |4,936.00  |4,930.00  |4,952.00  |4,922.00  |4,924.00  |4,932.00  |-12.00   |-4.00    |10        |2,182     |5         |24.66       |
TA207 |4,946.00  |4,962.00  |4,970.00  |4,944.00  |4,948.00  |4,956.00  |2.00     |10.00    |41        |22,857    |22        |101.57      |
TA208 |4,960.00  |4,960.00  |4,986.00  |4,944.00  |4,958.00  |4,962.00  |-2.00    |2.00     |20        |8,348     |3         |49.61       |
TA209 |4,982.00  |5,000.00  |5,010.00  |4,952.00  |4,978.00  |4,984.00  |-4.00    |2.00     |2,311     |15,394    |794       |5,757.80    |
TA210 |5,022.00  |5,002.00  |5,034.00  |5,000.00  |5,034.00  |5,016.00  |12.00    |-6.00    |4         |34        |0         |10.03       |
TA211 |5,056.00  |5,032.00  |5,048.00  |5,010.00  |5,048.00  |5,030.00  |-8.00    |-26.00   |8         |896       |-3        |20.12       |
小计    |          |          |          |          |          |          |         |         |1,329,359 |2,186,740 |44,511    |3,218,460.13|
总计    |          |          |          |          |          |          |         |         |1,329,359 |2,186,740 |44,511    |3,218,460.13|
