					郑州商品交易所期货每日行情表(2021-04-01)
品种月份|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA104   |4,372.00  |4,360.00  |4,360.00  |4,360.00  |4,360.00  |4,360.00  |-12.00   |-12.00   |3         |8,728     |-3        |6.54        |4,346.00
TA105   |4,404.00  |4,382.00  |4,404.00  |4,306.00  |4,374.00  |4,362.00  |-30.00   |-42.00   |779,922   |1,101,840 |-74,807   |1,701,033.83|
TA106   |4,426.00  |4,408.00  |4,432.00  |4,338.00  |4,400.00  |4,390.00  |-26.00   |-36.00   |146,832   |37,985    |3,355     |322,322.46  |
TA107   |4,450.00  |4,434.00  |4,454.00  |4,360.00  |4,424.00  |4,412.00  |-26.00   |-38.00   |77,218    |47,972    |8,946     |170,298.90  |
TA108   |4,472.00  |4,460.00  |4,472.00  |4,382.00  |4,446.00  |4,436.00  |-26.00   |-36.00   |9,956     |5,413     |-926      |22,075.21   |
TA109   |4,484.00  |4,470.00  |4,488.00  |4,392.00  |4,462.00  |4,448.00  |-22.00   |-36.00   |989,982   |1,446,270 |52,870    |2,201,423.02|
TA110   |4,604.00  |4,590.00  |4,600.00  |4,532.00  |4,580.00  |4,590.00  |-24.00   |-14.00   |1,898     |6,926     |-1,682    |4,355.52    |
TA111   |4,612.00  |4,600.00  |4,614.00  |4,550.00  |4,602.00  |4,600.00  |-10.00   |-12.00   |837       |14,968    |-797      |1,924.83    |
TA112   |4,614.00  |4,616.00  |4,616.00  |4,550.00  |4,594.00  |4,602.00  |-20.00   |-12.00   |823       |7,183     |-805      |1,893.57    |
TA201   |4,616.00  |4,600.00  |4,618.00  |4,540.00  |4,594.00  |4,588.00  |-22.00   |-28.00   |21,748    |151,152   |4,947     |49,886.88   |
TA202   |4,640.00  |4,634.00  |4,642.00  |4,568.00  |4,618.00  |4,600.00  |-22.00   |-40.00   |64        |20,066    |30        |147.22      |
TA203   |4,668.00  |4,632.00  |4,656.00  |4,600.00  |4,656.00  |4,624.00  |-12.00   |-44.00   |16        |4,667     |7         |36.99       |
小计    |          |          |          |          |          |          |         |         |2,029,299 |2,853,170 |-8,865    |4,475,404.93|
总计    |          |          |          |          |          |          |         |         |2,029,299 |2,853,170 |-8,865    |4,475,404.93|

