					郑州商品交易所期货每日行情表(2021-09-15)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA110 |4,886.00  |4,928.00  |4,982.00  |4,896.00  |4,964.00  |4,952.00  |78.00    |66.00    |34,522    |94,595    |-15,762   |85,476.58   |
TA111 |4,912.00  |4,958.00  |4,998.00  |4,910.00  |4,972.00  |4,960.00  |60.00    |48.00    |177,624   |386,864   |-4,133    |440,388.97  |
TA112 |4,914.00  |4,952.00  |4,988.00  |4,910.00  |4,976.00  |4,956.00  |62.00    |42.00    |79,570    |197,989   |9,056     |197,131.50  |
TA201 |4,914.00  |4,950.00  |4,990.00  |4,912.00  |4,980.00  |4,958.00  |66.00    |44.00    |1,474,468 |1,416,215 |-35,295   |3,655,556.38|
TA202 |4,906.00  |4,928.00  |4,960.00  |4,896.00  |4,942.00  |4,940.00  |36.00    |34.00    |2,308     |26,907    |-970      |5,699.75    |
TA203 |4,896.00  |4,914.00  |4,952.00  |4,886.00  |4,930.00  |4,930.00  |34.00    |34.00    |5,151     |57,547    |3,277     |12,698.01   |
TA204 |4,892.00  |4,928.00  |4,964.00  |4,904.00  |4,940.00  |4,934.00  |48.00    |42.00    |431       |20,330    |111       |1,063.27    |
TA205 |4,898.00  |4,936.00  |4,966.00  |4,900.00  |4,956.00  |4,944.00  |58.00    |46.00    |28,307    |185,619   |241       |69,965.72   |
TA206 |4,910.00  |4,922.00  |4,952.00  |4,912.00  |4,952.00  |4,934.00  |42.00    |24.00    |34        |8,712     |3         |83.86       |
TA207 |4,918.00  |4,932.00  |4,966.00  |4,914.00  |4,954.00  |4,942.00  |36.00    |24.00    |33        |27,284    |-3        |81.55       |
TA208 |4,944.00  |4,964.00  |4,988.00  |4,918.00  |4,988.00  |4,950.00  |44.00    |6.00     |6         |13,087    |2         |14.85       |
TA209 |4,944.00  |4,920.00  |4,998.00  |4,916.00  |4,996.00  |4,966.00  |52.00    |22.00    |242       |113       |113       |600.79      |
小计    |          |          |          |          |          |          |         |         |1,802,696 |2,435,262 |-43,360   |4,468,761.23|
总计    |          |          |          |          |          |          |         |         |1,802,696 |2,435,262 |-43,360   |4,468,761.23|
