					郑州商品交易所期货每日行情表(2022-01-11)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA201 |5,190.00  |5,102.00  |5,192.00  |5,102.00  |5,188.00  |5,152.00  |-2.00    |-38.00   |1,885     |24,287    |-954      |4,855.15    |5,008.00      
TA202 |5,192.00  |5,144.00  |5,192.00  |5,124.00  |5,182.00  |5,152.00  |-10.00   |-40.00   |43,542    |80,260    |-34,985   |112,158.37  |
TA203 |5,206.00  |5,168.00  |5,208.00  |5,142.00  |5,198.00  |5,178.00  |-8.00    |-28.00   |193,118   |416,827   |-18,026   |499,865.82  |
TA204 |5,220.00  |5,186.00  |5,226.00  |5,160.00  |5,216.00  |5,194.00  |-4.00    |-26.00   |128,123   |188,248   |24,907    |332,685.85  |
TA205 |5,242.00  |5,200.00  |5,244.00  |5,176.00  |5,232.00  |5,212.00  |-10.00   |-30.00   |1,247,314 |1,184,062 |21,659    |3,250,352.74|
TA206 |5,240.00  |5,202.00  |5,250.00  |5,186.00  |5,238.00  |5,220.00  |-2.00    |-20.00   |10,339    |27,045    |2,233     |26,978.49   |
TA207 |5,262.00  |5,210.00  |5,260.00  |5,200.00  |5,258.00  |5,226.00  |-4.00    |-36.00   |952       |23,963    |-746      |2,486.90    |
TA208 |5,252.00  |5,202.00  |5,264.00  |5,202.00  |5,252.00  |5,232.00  |0.00     |-20.00   |1,756     |12,482    |303       |4,593.62    |
TA209 |5,276.00  |5,226.00  |5,280.00  |5,212.00  |5,266.00  |5,244.00  |-10.00   |-32.00   |31,094    |74,301    |5,331     |81,511.59   |
TA210 |5,310.00  |5,270.00  |5,322.00  |5,270.00  |5,304.00  |5,302.00  |-6.00    |-8.00    |45        |78        |-6        |119.27      |
TA211 |5,340.00  |5,282.00  |5,340.00  |5,282.00  |5,316.00  |5,298.00  |-24.00   |-42.00   |104       |880       |-80       |275.47      |
TA212 |5,336.00  |0.00      |0.00      |0.00      |0.00      |5,336.00  |0.00     |0.00     |0         |21        |0         |0.00        |
小计    |          |          |          |          |          |          |         |         |1,658,272 |2,032,454 |-364      |4,315,883.26|
总计    |          |          |          |          |          |          |         |         |1,658,272 |2,032,454 |-364      |4,315,883.26|
