					郑州商品交易所期货每日行情表(2021-03-25)
品种月份|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA104   |4,274.00  |4,290.00  |4,342.00  |4,268.00  |4,270.00  |4,300.00  |-4.00    |26.00    |131       |8,994     |-8        |281.60      |
TA105   |4,304.00  |4,366.00  |4,388.00  |4,288.00  |4,308.00  |4,340.00  |4.00     |36.00    |940,627   |1,381,328 |-11,988   |2,041,194.07|
TA106   |4,334.00  |4,394.00  |4,414.00  |4,316.00  |4,338.00  |4,364.00  |4.00     |30.00    |171,478   |45,321    |2,025     |374,093.45  |
TA107   |4,362.00  |4,414.00  |4,440.00  |4,344.00  |4,366.00  |4,392.00  |4.00     |30.00    |53,973    |35,189    |1,108     |118,511.59  |
TA108   |4,376.00  |4,432.00  |4,460.00  |4,366.00  |4,386.00  |4,420.00  |10.00    |44.00    |5,315     |7,117     |695       |11,745.20   |
TA109   |4,392.00  |4,450.00  |4,480.00  |4,380.00  |4,402.00  |4,428.00  |10.00    |36.00    |573,494   |1,235,823 |39,894    |1,269,694.90|
TA110   |4,526.00  |4,572.00  |4,608.00  |4,510.00  |4,526.00  |4,556.00  |0.00     |30.00    |92        |8,647     |-4        |209.53      |
TA111   |4,550.00  |4,598.00  |4,626.00  |4,526.00  |4,540.00  |4,584.00  |-10.00   |34.00    |84        |15,803    |3         |192.47      |
TA112   |4,540.00  |4,610.00  |4,610.00  |4,528.00  |4,550.00  |4,570.00  |10.00    |30.00    |13        |8,003     |3         |29.71       |
TA201   |4,540.00  |4,598.00  |4,626.00  |4,530.00  |4,548.00  |4,582.00  |8.00     |42.00    |8,488     |139,289   |325       |19,445.97   |
TA202   |4,568.00  |4,622.00  |4,650.00  |4,558.00  |4,570.00  |4,608.00  |2.00     |40.00    |170       |18,633    |40        |391.72      |
TA203   |4,580.00  |4,664.00  |4,666.00  |4,588.00  |4,590.00  |4,616.00  |10.00    |36.00    |59        |4,247     |2         |136.14      |
小计    |          |          |          |          |          |          |         |         |1,753,924 |2,908,394 |32,095    |3,835,926.32|
总计    |          |          |          |          |          |          |         |         |1,753,924 |2,908,394 |32,095    |3,835,926.32|

