					郑州商品交易所期货每日行情表(2021-07-06)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA107 |5,264.00  |5,300.00  |5,440.00  |5,272.00  |5,372.00  |5,404.00  |108.00   |140.00   |7,485     |30,337    |-4,072    |20,224.07   |5,102.00      
TA108 |5,234.00  |5,290.00  |5,448.00  |5,282.00  |5,370.00  |5,370.00  |136.00   |136.00   |15,391    |24,407    |-5,759    |41,314.70   |
TA109 |5,234.00  |5,308.00  |5,442.00  |5,286.00  |5,378.00  |5,378.00  |144.00   |144.00   |2,407,997 |1,799,266 |-24,883   |6,473,404.21|
TA110 |5,202.00  |5,228.00  |5,338.00  |5,186.00  |5,288.00  |5,252.00  |86.00    |50.00    |116,142   |230,756   |3,878     |304,966.34  |
TA111 |5,186.00  |5,206.00  |5,342.00  |5,172.00  |5,284.00  |5,242.00  |98.00    |56.00    |52,677    |90,981    |14,002    |138,034.49  |
TA112 |5,184.00  |5,170.00  |5,342.00  |5,164.00  |5,294.00  |5,272.00  |110.00   |88.00    |4,452     |11,904    |-1,784    |11,733.24   |
TA201 |5,188.00  |5,208.00  |5,350.00  |5,164.00  |5,300.00  |5,256.00  |112.00   |68.00    |508,507   |722,637   |33,286    |1,336,487.33|
TA202 |5,170.00  |5,218.00  |5,356.00  |5,178.00  |5,308.00  |5,296.00  |138.00   |126.00   |2,259     |35,330    |-2,001    |5,981.22    |
TA203 |5,178.00  |5,190.00  |5,396.00  |5,176.00  |5,314.00  |5,296.00  |136.00   |118.00   |2,253     |31,428    |-1,946    |5,966.43    |
TA204 |5,092.00  |5,210.00  |5,348.00  |5,188.00  |5,300.00  |5,278.00  |208.00   |186.00   |34        |7,136     |3         |89.70       |
TA205 |5,196.00  |5,216.00  |5,416.00  |5,174.00  |5,308.00  |5,278.00  |112.00   |82.00    |10,226    |30,612    |3,709     |26,988.11   |
TA206 |5,230.00  |5,206.00  |5,410.00  |5,206.00  |5,300.00  |5,276.00  |70.00    |46.00    |56        |169       |23        |147.69      |
小计    |          |          |          |          |          |          |         |         |3,127,479 |3,014,963 |14,456    |8,365,337.52|
总计    |          |          |          |          |          |          |         |         |3,127,479 |3,014,963 |14,456    |8,365,337.52|
