					郑州商品交易所期货每日行情表(2021-03-12)
品种月份|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA103   |4,404.00  |4,548.00  |4,548.00  |4,506.00  |4,530.00  |4,520.00  |126.00   |116.00   |501       |0         |-28,235   |1,132.33    |4,562.00
TA104   |4,432.00  |4,534.00  |4,590.00  |4,514.00  |4,522.00  |4,558.00  |90.00    |126.00   |1,449     |9,364     |35        |3,302.22    |
TA105   |4,464.00  |4,556.00  |4,632.00  |4,544.00  |4,550.00  |4,586.00  |86.00    |122.00   |1,516,207 |1,553,492 |-38,134   |3,475,735.54|
TA106   |4,492.00  |4,618.00  |4,662.00  |4,578.00  |4,582.00  |4,618.00  |90.00    |126.00   |236,141   |46,483    |15,777    |545,073.42  |
TA107   |4,514.00  |4,614.00  |4,686.00  |4,604.00  |4,612.00  |4,642.00  |98.00    |128.00   |59,472    |21,870    |1,203     |138,028.74  |
TA108   |4,532.00  |4,628.00  |4,700.00  |4,620.00  |4,638.00  |4,656.00  |106.00   |124.00   |7,013     |1,645     |238       |16,326.38   |
TA109   |4,550.00  |4,648.00  |4,718.00  |4,636.00  |4,642.00  |4,676.00  |92.00    |126.00   |598,038   |1,059,182 |32,630    |1,397,897.69|
TA110   |4,692.00  |4,784.00  |4,844.00  |4,776.00  |4,778.00  |4,832.00  |86.00    |140.00   |6,528     |7,037     |-6,237    |15,766.82   |
TA111   |4,684.00  |4,810.00  |4,864.00  |4,794.00  |4,804.00  |4,842.00  |120.00   |158.00   |7,727     |11,978    |-7,167    |18,703.28   |
TA112   |4,718.00  |4,814.00  |4,868.00  |4,806.00  |4,810.00  |4,852.00  |92.00    |134.00   |13,611    |3,039     |-13,510   |33,017.66   |
TA201   |4,714.00  |4,778.00  |4,874.00  |4,778.00  |4,800.00  |4,828.00  |86.00    |114.00   |15,344    |115,750   |3,278     |37,031.25   |
TA202   |4,736.00  |4,702.00  |4,894.00  |4,702.00  |4,828.00  |4,740.00  |92.00    |4.00     |653       |8,685     |503       |1,547.30    |
小计    |          |          |          |          |          |          |         |         |2,462,684 |2,838,525 |-39,619   |5,683,562.60|
总计    |          |          |          |          |          |          |         |         |2,462,684 |2,838,525 |-39,619   |5,683,562.60|

