					郑州商品交易所期货每日行情表(2021-10-13)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA110 |5,470.00  |5,358.00  |5,450.00  |5,240.00  |5,310.00  |5,322.00  |-160.00  |-148.00  |8,355     |39,793    |-5,434    |22,230.21   |5,200.00      
TA111 |5,482.00  |5,390.00  |5,508.00  |5,180.00  |5,346.00  |5,386.00  |-136.00  |-96.00   |86,293    |140,709   |-31,648   |232,323.41  |
TA112 |5,484.00  |5,410.00  |5,532.00  |5,206.00  |5,368.00  |5,416.00  |-116.00  |-68.00   |280,559   |258,647   |5,937     |759,554.74  |
TA201 |5,502.00  |5,428.00  |5,548.00  |5,226.00  |5,392.00  |5,424.00  |-110.00  |-78.00   |2,784,371 |1,332,760 |-21,256   |7,550,875.51|
TA202 |5,492.00  |5,416.00  |5,524.00  |5,202.00  |5,370.00  |5,404.00  |-122.00  |-88.00   |72,609    |158,389   |33,704    |196,136.07  |
TA203 |5,450.00  |5,400.00  |5,504.00  |5,204.00  |5,366.00  |5,378.00  |-84.00   |-72.00   |17,329    |80,701    |653       |46,596.93   |
TA204 |5,434.00  |5,424.00  |5,514.00  |5,230.00  |5,374.00  |5,394.00  |-60.00   |-40.00   |101       |20,474    |-2        |272.42      |
TA205 |5,488.00  |5,432.00  |5,532.00  |5,232.00  |5,396.00  |5,416.00  |-92.00   |-72.00   |119,695   |187,749   |1,202     |324,143.33  |
TA206 |5,450.00  |5,424.00  |5,532.00  |5,292.00  |5,400.00  |5,428.00  |-50.00   |-22.00   |68        |2,404     |10        |184.51      |
TA207 |5,494.00  |5,458.00  |5,550.00  |5,268.00  |5,418.00  |5,424.00  |-76.00   |-70.00   |576       |21,640    |188       |1,562.12    |
TA208 |5,474.00  |5,460.00  |5,502.00  |5,322.00  |5,428.00  |5,426.00  |-46.00   |-48.00   |28        |7,829     |-1        |75.95       |
TA209 |5,516.00  |5,470.00  |5,550.00  |5,270.00  |5,434.00  |5,442.00  |-82.00   |-74.00   |1,495     |3,102     |118       |4,068.12    |
小计    |          |          |          |          |          |          |         |         |3,371,479 |2,254,197 |-16,529   |9,138,023.31|
总计    |          |          |          |          |          |          |         |         |3,371,479 |2,254,197 |-16,529   |9,138,023.31|
