					郑州商品交易所期货每日行情表(2021-07-20)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA108 |5,126.00  |5,064.00  |5,110.00  |4,932.00  |4,978.00  |5,032.00  |-148.00  |-94.00   |1,577     |9,102     |-708      |3,967.22    |
TA109 |5,132.00  |5,088.00  |5,100.00  |4,906.00  |4,974.00  |4,986.00  |-158.00  |-146.00  |2,643,255 |1,303,821 |-23,373   |6,589,014.39|
TA110 |5,138.00  |5,094.00  |5,114.00  |4,930.00  |5,008.00  |4,996.00  |-130.00  |-142.00  |91,933    |201,259   |-694      |229,645.63  |
TA111 |5,134.00  |5,088.00  |5,100.00  |4,912.00  |4,982.00  |4,986.00  |-152.00  |-148.00  |51,163    |148,394   |7,401     |127,519.61  |
TA112 |5,120.00  |5,142.00  |5,142.00  |4,900.00  |4,972.00  |4,980.00  |-148.00  |-140.00  |3,332     |9,937     |-57       |8,295.27    |
TA201 |5,094.00  |5,042.00  |5,070.00  |4,882.00  |4,942.00  |4,954.00  |-152.00  |-140.00  |482,104   |736,742   |37,701    |1,194,157.53|
TA202 |5,068.00  |5,018.00  |5,064.00  |4,884.00  |4,950.00  |4,942.00  |-118.00  |-126.00  |334       |32,188    |-69       |825.37      |
TA203 |5,086.00  |5,012.00  |5,048.00  |4,866.00  |4,920.00  |4,920.00  |-166.00  |-166.00  |492       |30,882    |166       |1,210.19    |
TA204 |5,064.00  |5,046.00  |5,046.00  |4,874.00  |4,916.00  |4,952.00  |-148.00  |-112.00  |55        |7,155     |18        |136.18      |
TA205 |5,050.00  |5,004.00  |5,010.00  |4,842.00  |4,882.00  |4,910.00  |-168.00  |-140.00  |20,399    |67,094    |-976      |50,072.09   |
TA206 |5,056.00  |4,998.00  |5,000.00  |4,876.00  |4,918.00  |4,954.00  |-138.00  |-102.00  |27        |1,190     |23        |66.88       |
TA207 |5,054.00  |4,980.00  |4,980.00  |4,880.00  |4,908.00  |4,934.00  |-146.00  |-120.00  |19        |26        |16        |46.87       |
小计    |          |          |          |          |          |          |         |         |3,294,690 |2,547,790 |19,448    |8,204,957.21|
总计    |          |          |          |          |          |          |         |         |3,294,690 |2,547,790 |19,448    |8,204,957.21|
