					郑州商品交易所期货每日行情表(2021-06-10)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA106 |4,614.00  |4,640.00  |4,640.00  |4,572.00  |4,598.00  |4,584.00  |-16.00   |-30.00   |144       |12,026    |-80       |329.95      |4,682.00      
TA107 |4,630.00  |4,662.00  |4,670.00  |4,584.00  |4,592.00  |4,614.00  |-38.00   |-16.00   |8,066     |52,166    |-3,250    |18,608.93   |
TA108 |4,654.00  |4,672.00  |4,694.00  |4,610.00  |4,620.00  |4,638.00  |-34.00   |-16.00   |103,598   |57,391    |1,972     |240,262.40  |
TA109 |4,664.00  |4,694.00  |4,708.00  |4,624.00  |4,634.00  |4,658.00  |-30.00   |-6.00    |1,308,372 |1,751,409 |7,365     |3,046,545.15|
TA110 |4,746.00  |4,772.00  |4,790.00  |4,710.00  |4,726.00  |4,740.00  |-20.00   |-6.00    |55,649    |173,639   |3,112     |131,868.63  |
TA111 |4,730.00  |4,744.00  |4,796.00  |4,714.00  |4,726.00  |4,746.00  |-4.00    |16.00    |7,641     |14,634    |4,245     |18,132.20   |
TA112 |4,756.00  |4,790.00  |4,806.00  |4,740.00  |4,742.00  |4,764.00  |-14.00   |8.00     |73        |13,202    |-16       |173.88      |
TA201 |4,772.00  |4,802.00  |4,828.00  |4,740.00  |4,762.00  |4,780.00  |-10.00   |8.00     |181,438   |434,597   |4,621     |433,679.73  |
TA202 |4,782.00  |4,816.00  |4,842.00  |4,768.00  |4,782.00  |4,818.00  |0.00     |36.00    |486       |41,453    |-3        |1,170.50    |
TA203 |4,806.00  |4,838.00  |4,856.00  |4,788.00  |4,794.00  |4,814.00  |-12.00   |8.00     |78        |33,016    |-49       |187.69      |
TA204 |4,820.00  |4,850.00  |4,850.00  |4,816.00  |4,816.00  |4,846.00  |-4.00    |26.00    |10        |7,539     |1         |24.23       |
TA205 |4,838.00  |4,864.00  |4,886.00  |4,804.00  |4,822.00  |4,836.00  |-16.00   |-2.00    |423       |10,704    |84        |1,022.76    |
小计    |          |          |          |          |          |          |         |         |1,665,978 |2,601,776 |18,002    |3,892,006.05|
总计    |          |          |          |          |          |          |         |         |1,665,978 |2,601,776 |18,002    |3,892,006.05|
