					郑州商品交易所期货每日行情表(2021-05-06)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA105 |4,778.00  |4,748.00  |4,870.00  |4,748.00  |4,788.00  |4,822.00  |10.00    |44.00    |16,663    |101,716   |-13,331   |40,163.82   |4,654.00      
TA106 |4,802.00  |4,798.00  |4,888.00  |4,798.00  |4,832.00  |4,852.00  |30.00    |50.00    |39,070    |36,541    |-4,870    |94,777.45   |
TA107 |4,838.00  |4,834.00  |4,920.00  |4,826.00  |4,862.00  |4,880.00  |24.00    |42.00    |123,149   |145,686   |-8,366    |300,507.43  |
TA108 |4,848.00  |4,830.00  |4,934.00  |4,830.00  |4,878.00  |4,892.00  |30.00    |44.00    |10,786    |7,821     |-142      |26,375.31   |
TA109 |4,852.00  |4,850.00  |4,946.00  |4,850.00  |4,886.00  |4,904.00  |34.00    |52.00    |1,118,034 |1,807,024 |36,127    |2,741,586.58|
TA110 |4,874.00  |4,916.00  |4,996.00  |4,900.00  |4,916.00  |4,954.00  |42.00    |80.00    |3,995     |6,848     |478       |9,892.79    |
TA111 |4,862.00  |4,882.00  |4,970.00  |4,882.00  |4,906.00  |4,932.00  |44.00    |70.00    |171       |13,109    |0         |421.66      |
TA112 |4,904.00  |4,946.00  |4,974.00  |4,906.00  |4,918.00  |4,936.00  |14.00    |32.00    |157       |14,100    |63        |387.50      |
TA201 |4,892.00  |4,896.00  |4,978.00  |4,892.00  |4,924.00  |4,946.00  |32.00    |54.00    |113,020   |354,134   |17,457    |279,415.77  |
TA202 |4,950.00  |4,946.00  |4,992.00  |4,922.00  |4,948.00  |4,960.00  |-2.00    |10.00    |77        |25,956    |1         |190.94      |
TA203 |4,932.00  |4,936.00  |5,020.00  |4,936.00  |4,958.00  |4,990.00  |26.00    |58.00    |163       |19,588    |60        |406.61      |
TA204 |4,958.00  |5,036.00  |5,048.00  |4,968.00  |4,968.00  |5,008.00  |10.00    |50.00    |8         |4,023     |4         |20.03       |
小计    |          |          |          |          |          |          |         |         |1,425,293 |2,536,546 |27,481    |3,494,145.87|
总计    |          |          |          |          |          |          |         |         |1,425,293 |2,536,546 |27,481    |3,494,145.87|
