					郑州商品交易所期货每日行情表(2021-03-16)
品种月份|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA104   |4,528.00  |4,464.00  |4,506.00  |4,414.00  |4,414.00  |4,490.00  |-114.00  |-38.00   |2,119     |9,191     |-11       |4,756.86    |
TA105   |4,574.00  |4,512.00  |4,546.00  |4,444.00  |4,446.00  |4,504.00  |-128.00  |-70.00   |1,397,343 |1,530,856 |875       |3,146,054.86|
TA106   |4,606.00  |4,536.00  |4,578.00  |4,478.00  |4,480.00  |4,538.00  |-126.00  |-68.00   |197,365   |47,187    |7,206     |447,827.98  |
TA107   |4,630.00  |4,570.00  |4,608.00  |4,506.00  |4,508.00  |4,566.00  |-122.00  |-64.00   |71,790    |26,376    |658       |163,902.82  |
TA108   |4,644.00  |4,592.00  |4,622.00  |4,532.00  |4,532.00  |4,584.00  |-112.00  |-60.00   |11,489    |2,347     |493       |26,329.34   |
TA109   |4,664.00  |4,606.00  |4,640.00  |4,544.00  |4,546.00  |4,598.00  |-118.00  |-66.00   |598,473   |1,112,525 |29,349    |1,375,990.21|
TA110   |4,772.00  |4,726.00  |4,780.00  |4,676.00  |4,676.00  |4,724.00  |-96.00   |-48.00   |215       |6,892     |-38       |507.68      |
TA111   |4,798.00  |4,734.00  |4,822.00  |4,684.00  |4,684.00  |4,742.00  |-114.00  |-56.00   |299       |12,395    |-194      |708.94      |
TA112   |4,808.00  |4,690.00  |4,834.00  |4,688.00  |4,702.00  |4,758.00  |-106.00  |-50.00   |235       |2,874     |-175      |559.08      |
TA201   |4,822.00  |4,764.00  |4,788.00  |4,700.00  |4,708.00  |4,748.00  |-114.00  |-74.00   |24,641    |124,668   |6,398     |58,491.37   |
TA202   |4,842.00  |4,706.00  |4,844.00  |4,706.00  |4,728.00  |4,768.00  |-114.00  |-74.00   |5,163     |13,659    |5,052     |12,307.78   |
TA203   |4,832.00  |4,796.00  |4,808.00  |4,730.00  |4,740.00  |4,770.00  |-92.00   |-62.00   |10        |6         |6         |23.85       |
小计    |          |          |          |          |          |          |         |         |2,309,142 |2,888,976 |49,619    |5,237,460.76|
总计    |          |          |          |          |          |          |         |         |2,309,142 |2,888,976 |49,619    |5,237,460.76|

