					郑州商品交易所期货每日行情表(2021-04-08)
品种月份|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA104   |4,504.00  |4,368.00  |4,368.00  |4,368.00  |4,368.00  |4,368.00  |-136.00  |-136.00  |3         |8,802     |0         |6.55        |4,384.00
TA105   |4,530.00  |4,546.00  |4,560.00  |4,376.00  |4,390.00  |4,468.00  |-140.00  |-62.00   |414,934   |712,551   |-83,390   |926,934.94  |
TA106   |4,558.00  |4,576.00  |4,590.00  |4,406.00  |4,418.00  |4,498.00  |-140.00  |-60.00   |194,125   |51,220    |269       |436,620.80  |
TA107   |4,590.00  |4,604.00  |4,622.00  |4,434.00  |4,448.00  |4,534.00  |-142.00  |-56.00   |97,394    |67,742    |1,893     |220,775.44  |
TA108   |4,614.00  |4,648.00  |4,648.00  |4,462.00  |4,478.00  |4,532.00  |-136.00  |-82.00   |10,605    |8,826     |-215      |24,029.07   |
TA109   |4,642.00  |4,666.00  |4,676.00  |4,488.00  |4,504.00  |4,580.00  |-138.00  |-62.00   |1,679,847 |1,688,137 |40,499    |3,846,915.56|
TA110   |4,768.00  |4,774.00  |4,774.00  |4,598.00  |4,614.00  |4,690.00  |-154.00  |-78.00   |443       |7,027     |-21       |1,038.62    |
TA111   |4,756.00  |4,766.00  |4,766.00  |4,580.00  |4,618.00  |4,708.00  |-138.00  |-48.00   |1,782     |15,104    |-87       |4,193.68    |
TA112   |4,770.00  |4,772.00  |4,798.00  |4,600.00  |4,638.00  |4,706.00  |-132.00  |-64.00   |159       |7,070     |-9        |374.03      |
TA201   |4,778.00  |4,790.00  |4,806.00  |4,622.00  |4,642.00  |4,696.00  |-136.00  |-82.00   |40,678    |173,470   |2,719     |95,483.71   |
TA202   |4,794.00  |4,812.00  |4,814.00  |4,648.00  |4,672.00  |4,732.00  |-122.00  |-62.00   |145       |18,285    |-26       |342.98      |
TA203   |4,836.00  |4,838.00  |4,866.00  |4,674.00  |4,690.00  |4,726.00  |-146.00  |-110.00  |177       |4,696     |-54       |418.21      |
小计    |          |          |          |          |          |          |         |         |2,440,292 |2,762,930 |-38,422   |5,557,133.58|
总计    |          |          |          |          |          |          |         |         |2,440,292 |2,762,930 |-38,422   |5,557,133.58|

