					郑州商品交易所期货每日行情表(2021-12-31)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA201 |4,894.00  |4,918.00  |4,964.00  |4,898.00  |4,954.00  |4,932.00  |60.00    |38.00    |19,020    |64,479    |-9,396    |46,900.13   |
TA202 |4,914.00  |4,940.00  |4,986.00  |4,916.00  |4,972.00  |4,948.00  |58.00    |34.00    |110,449   |193,130   |-33,940   |273,258.89  |
TA203 |4,928.00  |4,968.00  |4,998.00  |4,926.00  |4,978.00  |4,966.00  |50.00    |38.00    |164,699   |415,705   |-7,224    |408,856.48  |
TA204 |4,942.00  |4,980.00  |5,012.00  |4,944.00  |4,998.00  |4,980.00  |56.00    |38.00    |24,632    |34,547    |1,689     |61,335.81   |
TA205 |4,964.00  |5,004.00  |5,036.00  |4,962.00  |5,018.00  |5,002.00  |54.00    |38.00    |1,263,981 |1,146,706 |-20,147   |3,160,573.64|
TA206 |4,964.00  |4,992.00  |5,040.00  |4,974.00  |5,026.00  |5,008.00  |62.00    |44.00    |71        |2,478     |-8        |177.76      |
TA207 |4,984.00  |5,014.00  |5,046.00  |4,986.00  |5,040.00  |5,028.00  |56.00    |44.00    |95        |25,459    |-22       |238.76      |
TA208 |5,014.00  |5,024.00  |5,054.00  |5,010.00  |5,050.00  |5,038.00  |36.00    |24.00    |82        |16,164    |-5        |206.57      |
TA209 |5,008.00  |5,042.00  |5,066.00  |5,006.00  |5,064.00  |5,042.00  |56.00    |34.00    |13,320    |54,056    |625       |33,578.50   |
TA210 |5,066.00  |5,092.00  |5,112.00  |5,088.00  |5,112.00  |5,100.00  |46.00    |34.00    |10        |96        |1         |25.50       |
TA211 |5,080.00  |5,116.00  |5,116.00  |5,116.00  |5,116.00  |5,116.00  |36.00    |36.00    |1         |991       |0         |2.56        |
TA212 |5,098.00  |5,094.00  |5,094.00  |5,094.00  |5,094.00  |5,094.00  |-4.00    |-4.00    |2         |4         |0         |5.09        |
小计    |          |          |          |          |          |          |         |         |1,596,362 |1,953,815 |-68,427   |3,985,159.69|
总计    |          |          |          |          |          |          |         |         |1,596,362 |1,953,815 |-68,427   |3,985,159.69|
