					郑州商品交易所期货每日行情表(2021-05-27)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA106 |4,662.00  |4,614.00  |4,650.00  |4,588.00  |4,598.00  |4,616.00  |-64.00   |-46.00   |1,499     |20,217    |-287      |3,458.69    |
TA107 |4,692.00  |4,650.00  |4,682.00  |4,606.00  |4,620.00  |4,650.00  |-72.00   |-42.00   |174,835   |112,368   |-3,631    |406,398.65  |
TA108 |4,714.00  |4,674.00  |4,700.00  |4,630.00  |4,640.00  |4,670.00  |-74.00   |-44.00   |46,652    |32,747    |885       |108,937.46  |
TA109 |4,714.00  |4,690.00  |4,714.00  |4,640.00  |4,652.00  |4,680.00  |-62.00   |-34.00   |1,470,557 |1,765,032 |31,074    |3,441,270.77|
TA110 |4,772.00  |4,764.00  |4,778.00  |4,714.00  |4,724.00  |4,758.00  |-48.00   |-14.00   |2,276     |42,778    |1,151     |5,413.28    |
TA111 |4,780.00  |4,748.00  |4,784.00  |4,718.00  |4,726.00  |4,766.00  |-54.00   |-14.00   |937       |15,289    |882       |2,233.01    |
TA112 |4,786.00  |4,756.00  |4,798.00  |4,730.00  |4,736.00  |4,792.00  |-50.00   |6.00     |1,570     |24,412    |1,484     |3,762.08    |
TA201 |4,804.00  |4,788.00  |4,804.00  |4,732.00  |4,746.00  |4,772.00  |-58.00   |-32.00   |73,551    |429,634   |3,923     |175,473.53  |
TA202 |4,804.00  |4,780.00  |4,826.00  |4,770.00  |4,770.00  |4,792.00  |-34.00   |-12.00   |2,366     |49,853    |2,303     |5,668.72    |
TA203 |4,818.00  |4,792.00  |4,844.00  |4,778.00  |4,778.00  |4,816.00  |-40.00   |-2.00    |3,753     |40,719    |3,389     |9,036.85    |
TA204 |4,842.00  |4,828.00  |4,834.00  |4,802.00  |4,802.00  |4,818.00  |-40.00   |-24.00   |18        |5,852     |3         |43.37       |
TA205 |4,866.00  |4,870.00  |4,878.00  |4,814.00  |4,822.00  |4,844.00  |-44.00   |-22.00   |1,418     |2,089     |660       |3,433.50    |
小计    |          |          |          |          |          |          |         |         |1,779,432 |2,540,990 |41,836    |4,165,129.89|
总计    |          |          |          |          |          |          |         |         |1,779,432 |2,540,990 |41,836    |4,165,129.89|
