					郑州商品交易所期货每日行情表(2022-01-27)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA202 |5,296.00  |5,372.00  |5,478.00  |5,372.00  |5,468.00  |5,450.00  |172.00   |154.00   |2,384     |15,231    |-2,034    |6,495.99    |
TA203 |5,306.00  |5,420.00  |5,496.00  |5,390.00  |5,476.00  |5,454.00  |170.00   |148.00   |218,028   |298,730   |-38,383   |594,299.84  |
TA204 |5,310.00  |5,440.00  |5,514.00  |5,406.00  |5,492.00  |5,472.00  |182.00   |162.00   |135,868   |389,404   |-17,575   |371,675.13  |
TA205 |5,332.00  |5,430.00  |5,524.00  |5,412.00  |5,496.00  |5,478.00  |164.00   |146.00   |1,114,071 |1,021,944 |-47,924   |3,051,098.85|
TA206 |5,342.00  |5,438.00  |5,528.00  |5,428.00  |5,506.00  |5,490.00  |164.00   |148.00   |10,556    |58,022    |369       |28,971.97   |
TA207 |5,374.00  |5,446.00  |5,580.00  |5,442.00  |5,484.00  |5,506.00  |110.00   |132.00   |1,387     |31,095    |532       |3,817.83    |
TA208 |5,370.00  |5,458.00  |5,578.00  |5,458.00  |5,488.00  |5,508.00  |118.00   |138.00   |441       |15,722    |-5        |1,214.56    |
TA209 |5,364.00  |5,444.00  |5,542.00  |5,444.00  |5,486.00  |5,492.00  |122.00   |128.00   |46,392    |141,269   |10,112    |127,396.38  |
TA210 |5,408.00  |5,492.00  |5,574.00  |5,492.00  |5,534.00  |5,542.00  |126.00   |134.00   |134       |4,705     |2         |371.27      |
TA211 |5,446.00  |5,506.00  |5,600.00  |5,506.00  |5,544.00  |5,562.00  |98.00    |116.00   |201       |2,885     |2         |558.91      |
TA212 |5,412.00  |5,524.00  |5,578.00  |5,524.00  |5,538.00  |5,554.00  |126.00   |142.00   |15        |2,523     |0         |41.65       |
TA301 |5,432.00  |5,522.00  |5,590.00  |5,500.00  |5,530.00  |5,548.00  |98.00    |116.00   |271       |6,566     |82        |751.58      |
小计    |          |          |          |          |          |          |         |         |1,529,748 |1,988,096 |-94,822   |4,186,693.95|
总计    |          |          |          |          |          |          |         |         |1,529,748 |1,988,096 |-94,822   |4,186,693.95|
