					郑州商品交易所期货每日行情表(2021-03-30)
品种月份|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA104   |4,418.00  |4,400.00  |4,412.00  |4,388.00  |4,388.00  |4,398.00  |-30.00   |-20.00   |54        |8,756     |-17       |118.71      |
TA105   |4,436.00  |4,454.00  |4,462.00  |4,402.00  |4,404.00  |4,430.00  |-32.00   |-6.00    |823,870   |1,225,567 |-48,169   |1,824,329.74|
TA106   |4,458.00  |4,450.00  |4,486.00  |4,422.00  |4,428.00  |4,450.00  |-30.00   |-8.00    |144,367   |29,321    |-499      |321,245.58  |
TA107   |4,480.00  |4,504.00  |4,510.00  |4,448.00  |4,452.00  |4,476.00  |-28.00   |-4.00    |63,073    |36,427    |1,881     |141,161.34  |
TA108   |4,490.00  |4,494.00  |4,528.00  |4,466.00  |4,472.00  |4,500.00  |-18.00   |10.00    |5,922     |7,072     |-454      |13,320.74   |
TA109   |4,518.00  |4,536.00  |4,546.00  |4,480.00  |4,484.00  |4,510.00  |-34.00   |-8.00    |612,715   |1,355,990 |65,941    |1,381,666.80|
TA110   |4,662.00  |4,662.00  |4,670.00  |4,594.00  |4,612.00  |4,630.00  |-50.00   |-32.00   |82        |8,652     |15        |189.79      |
TA111   |4,656.00  |4,668.00  |4,688.00  |4,608.00  |4,626.00  |4,642.00  |-30.00   |-14.00   |104       |15,791    |13        |241.37      |
TA112   |4,672.00  |4,674.00  |4,674.00  |4,610.00  |4,610.00  |4,638.00  |-62.00   |-34.00   |17        |7,981     |-1        |39.42       |
TA201   |4,650.00  |4,674.00  |4,680.00  |4,616.00  |4,620.00  |4,646.00  |-30.00   |-4.00    |11,202    |142,679   |2,846     |26,021.76   |
TA202   |4,666.00  |4,706.00  |4,706.00  |4,642.00  |4,650.00  |4,690.00  |-16.00   |24.00    |1,238     |20,036    |1,129     |2,903.21    |
TA203   |4,720.00  |4,720.00  |4,720.00  |4,670.00  |4,670.00  |4,674.00  |-50.00   |-46.00   |278       |4,632     |256       |649.72      |
小计    |          |          |          |          |          |          |         |         |1,662,922 |2,862,904 |22,941    |3,711,888.15|
总计    |          |          |          |          |          |          |         |         |1,662,922 |2,862,904 |22,941    |3,711,888.15|

