					郑州商品交易所期货每日行情表(2021-03-17)
品种月份|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA104   |4,490.00  |4,410.00  |4,528.00  |4,410.00  |4,506.00  |4,458.00  |16.00    |-32.00   |156       |9,167     |-24       |347.68      |
TA105   |4,504.00  |4,440.00  |4,572.00  |4,430.00  |4,550.00  |4,496.00  |46.00    |-8.00    |1,273,318 |1,460,212 |-70,644   |2,861,897.83|
TA106   |4,538.00  |4,462.00  |4,604.00  |4,462.00  |4,580.00  |4,522.00  |42.00    |-16.00   |191,988   |44,633    |-2,554    |434,078.38  |
TA107   |4,566.00  |4,504.00  |4,628.00  |4,492.00  |4,606.00  |4,546.00  |40.00    |-20.00   |64,180    |26,596    |220       |145,867.00  |
TA108   |4,584.00  |4,522.00  |4,644.00  |4,516.00  |4,628.00  |4,568.00  |44.00    |-16.00   |7,740     |1,482     |-865      |17,676.75   |
TA109   |4,598.00  |4,534.00  |4,662.00  |4,530.00  |4,638.00  |4,590.00  |40.00    |-8.00    |550,093   |1,117,853 |5,328     |1,262,065.42|
TA110   |4,724.00  |4,596.00  |4,784.00  |4,596.00  |4,760.00  |4,710.00  |36.00    |-14.00   |160       |6,867     |-25       |376.81      |
TA111   |4,742.00  |4,668.00  |4,788.00  |4,624.00  |4,762.00  |4,708.00  |20.00    |-34.00   |82        |12,392    |-3        |192.98      |
TA112   |4,758.00  |4,636.00  |4,804.00  |4,636.00  |4,782.00  |4,640.00  |24.00    |-118.00  |2,050     |4,874     |2,000     |4,754.60    |
TA201   |4,748.00  |4,696.00  |4,812.00  |4,684.00  |4,782.00  |4,744.00  |34.00    |-4.00    |16,075    |126,127   |1,459     |38,132.59   |
TA202   |4,768.00  |4,728.00  |4,830.00  |4,722.00  |4,806.00  |4,784.00  |38.00    |16.00    |86        |13,684    |25        |205.69      |
TA203   |4,770.00  |4,682.00  |4,852.00  |4,682.00  |4,820.00  |4,682.00  |50.00    |-88.00   |2,007     |2,007     |2,001     |4,698.86    |
小计    |          |          |          |          |          |          |         |         |2,107,935 |2,825,894 |-63,082   |4,770,294.53|
总计    |          |          |          |          |          |          |         |         |2,107,935 |2,825,894 |-63,082   |4,770,294.53|

