					郑州商品交易所期货每日行情表(2021-08-13)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA108 |5,312.00  |5,288.00  |5,288.00  |5,288.00  |5,288.00  |5,288.00  |-24.00   |-24.00   |9         |0         |-7,627    |23.80       |5,336.00      
TA109 |5,316.00  |5,296.00  |5,328.00  |5,260.00  |5,276.00  |5,288.00  |-40.00   |-28.00   |208,777   |259,962   |-28,959   |551,890.68  |
TA110 |5,354.00  |5,324.00  |5,360.00  |5,288.00  |5,306.00  |5,320.00  |-48.00   |-34.00   |114,906   |264,003   |-3,486    |305,573.60  |
TA111 |5,346.00  |5,310.00  |5,352.00  |5,278.00  |5,296.00  |5,310.00  |-50.00   |-36.00   |64,138    |314,879   |6,353     |170,289.09  |
TA112 |5,320.00  |5,288.00  |5,336.00  |5,256.00  |5,272.00  |5,292.00  |-48.00   |-28.00   |10,208    |9,271     |-240      |27,010.53   |
TA201 |5,306.00  |5,278.00  |5,322.00  |5,242.00  |5,266.00  |5,278.00  |-40.00   |-28.00   |1,658,841 |1,539,409 |329       |4,377,980.77|
TA202 |5,260.00  |5,214.00  |5,236.00  |5,212.00  |5,212.00  |5,220.00  |-48.00   |-40.00   |21        |30,468    |-4        |54.81       |
TA203 |5,198.00  |5,168.00  |5,206.00  |5,140.00  |5,156.00  |5,178.00  |-42.00   |-20.00   |5,313     |48,846    |89        |13,755.50   |
TA204 |5,198.00  |5,152.00  |5,178.00  |5,150.00  |5,160.00  |5,158.00  |-38.00   |-40.00   |16        |8,272     |3         |41.26       |
TA205 |5,190.00  |5,170.00  |5,202.00  |5,130.00  |5,150.00  |5,166.00  |-40.00   |-24.00   |23,803    |145,224   |979       |61,478.74   |
TA206 |5,184.00  |5,172.00  |5,172.00  |5,132.00  |5,144.00  |5,154.00  |-40.00   |-30.00   |23        |1,560     |4         |59.27       |
TA207 |5,184.00  |5,170.00  |5,170.00  |5,138.00  |5,146.00  |5,144.00  |-38.00   |-40.00   |24        |791       |-13       |61.73       |
小计    |          |          |          |          |          |          |         |         |2,086,079 |2,622,685 |-32,572   |5,508,219.78|
总计    |          |          |          |          |          |          |         |         |2,086,079 |2,622,685 |-32,572   |5,508,219.78|
