					郑州商品交易所期货每日行情表(2021-07-28)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA108 |5,422.00  |5,404.00  |5,430.00  |5,386.00  |5,392.00  |5,406.00  |-30.00   |-16.00   |40        |8,332     |-21       |108.12      |
TA109 |5,410.00  |5,372.00  |5,440.00  |5,334.00  |5,396.00  |5,394.00  |-14.00   |-16.00   |1,851,374 |1,131,060 |-21,240   |4,991,759.02|
TA110 |5,312.00  |5,256.00  |5,336.00  |5,242.00  |5,294.00  |5,294.00  |-18.00   |-18.00   |104,409   |239,485   |4,797     |276,303.36  |
TA111 |5,286.00  |5,226.00  |5,300.00  |5,216.00  |5,266.00  |5,264.00  |-20.00   |-22.00   |36,134    |167,096   |597       |95,098.56   |
TA112 |5,254.00  |5,196.00  |5,262.00  |5,180.00  |5,230.00  |5,222.00  |-24.00   |-32.00   |2,267     |8,847     |4         |5,918.51    |
TA201 |5,242.00  |5,184.00  |5,250.00  |5,172.00  |5,218.00  |5,216.00  |-24.00   |-26.00   |372,619   |858,413   |20,802    |971,545.72  |
TA202 |5,204.00  |5,138.00  |5,192.00  |5,138.00  |5,168.00  |5,178.00  |-36.00   |-26.00   |203       |28,600    |-27       |525.60      |
TA203 |5,164.00  |5,138.00  |5,154.00  |5,086.00  |5,128.00  |5,132.00  |-36.00   |-32.00   |5,480     |36,495    |1,766     |14,061.24   |
TA204 |5,150.00  |5,096.00  |5,138.00  |5,090.00  |5,124.00  |5,118.00  |-26.00   |-32.00   |21        |6,165     |0         |53.73       |
TA205 |5,138.00  |5,096.00  |5,126.00  |5,070.00  |5,100.00  |5,104.00  |-38.00   |-34.00   |12,221    |94,507    |-119      |31,187.75   |
TA206 |5,138.00  |5,088.00  |5,120.00  |5,070.00  |5,096.00  |5,096.00  |-42.00   |-42.00   |35        |774       |10        |89.18       |
TA207 |5,122.00  |5,088.00  |5,112.00  |5,076.00  |5,098.00  |5,092.00  |-24.00   |-30.00   |20        |86        |8         |50.92       |
小计    |          |          |          |          |          |          |         |         |2,384,823 |2,579,860 |6,577     |6,386,701.69|
总计    |          |          |          |          |          |          |         |         |2,384,823 |2,579,860 |6,577     |6,386,701.69|
