					郑州商品交易所期货每日行情表(2021-03-23)
品种月份|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA104   |4,296.00  |4,312.00  |4,354.00  |4,286.00  |4,316.00  |4,318.00  |20.00    |22.00    |140       |9,005     |-117      |302.18      |
TA105   |4,328.00  |4,350.00  |4,394.00  |4,316.00  |4,356.00  |4,362.00  |28.00    |34.00    |1,013,654 |1,407,034 |-4,598    |2,210,913.12|
TA106   |4,364.00  |4,386.00  |4,424.00  |4,346.00  |4,388.00  |4,396.00  |24.00    |32.00    |175,492   |41,420    |-4,006    |385,671.73  |
TA107   |4,394.00  |4,412.00  |4,450.00  |4,374.00  |4,418.00  |4,424.00  |24.00    |30.00    |51,282    |31,061    |1,472     |113,402.95  |
TA108   |4,408.00  |4,412.00  |4,468.00  |4,396.00  |4,438.00  |4,430.00  |30.00    |22.00    |8,073     |6,626     |3,019     |17,881.40   |
TA109   |4,420.00  |4,442.00  |4,486.00  |4,408.00  |4,448.00  |4,454.00  |28.00    |34.00    |459,015   |1,176,791 |17,134    |1,022,209.07|
TA110   |4,546.00  |4,590.00  |4,610.00  |4,544.00  |4,584.00  |4,588.00  |38.00    |42.00    |192       |8,677     |59        |440.39      |
TA111   |4,588.00  |4,580.00  |4,636.00  |4,568.00  |4,578.00  |4,594.00  |-10.00   |6.00     |1,192     |15,492    |947       |2,738.07    |
TA112   |4,536.00  |4,588.00  |4,640.00  |4,564.00  |4,580.00  |4,596.00  |44.00    |60.00    |123       |7,937     |46        |282.65      |
TA201   |4,574.00  |4,608.00  |4,644.00  |4,560.00  |4,602.00  |4,612.00  |28.00    |38.00    |14,561    |134,615   |510       |33,575.39   |
TA202   |4,612.00  |4,644.00  |4,662.00  |4,596.00  |4,636.00  |4,622.00  |24.00    |10.00    |777       |18,317    |242       |1,795.41    |
TA203   |4,644.00  |4,678.00  |4,696.00  |4,618.00  |4,642.00  |4,670.00  |-2.00    |26.00    |44        |3,996     |28        |102.74      |
小计    |          |          |          |          |          |          |         |         |1,724,545 |2,860,971 |14,736    |3,789,315.08|
总计    |          |          |          |          |          |          |         |         |1,724,545 |2,860,971 |14,736    |3,789,315.08|

