					郑州商品交易所期货每日行情表(2022-01-19)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA202 |5,272.00  |5,338.00  |5,416.00  |5,318.00  |5,344.00  |5,360.00  |72.00    |88.00    |4,478     |30,594    |-2,632    |12,000.59   |
TA203 |5,292.00  |5,350.00  |5,428.00  |5,320.00  |5,350.00  |5,368.00  |58.00    |76.00    |220,829   |391,935   |3,189     |591,924.33  |
TA204 |5,316.00  |5,372.00  |5,448.00  |5,342.00  |5,380.00  |5,390.00  |64.00    |74.00    |108,076   |344,382   |8,075     |291,283.72  |
TA205 |5,334.00  |5,392.00  |5,468.00  |5,360.00  |5,394.00  |5,406.00  |60.00    |72.00    |1,429,218 |1,238,720 |-3,379    |3,863,348.85|
TA206 |5,358.00  |5,398.00  |5,472.00  |5,370.00  |5,404.00  |5,416.00  |46.00    |58.00    |12,810    |44,470    |3,749     |34,692.56   |
TA207 |5,348.00  |5,400.00  |5,508.00  |5,386.00  |5,432.00  |5,446.00  |84.00    |98.00    |358       |23,841    |171       |974.90      |
TA208 |5,380.00  |5,410.00  |5,516.00  |5,394.00  |5,438.00  |5,456.00  |58.00    |76.00    |53        |15,923    |6         |144.59      |
TA209 |5,376.00  |5,424.00  |5,500.00  |5,396.00  |5,432.00  |5,444.00  |56.00    |68.00    |45,284    |120,112   |9,135     |123,233.71  |
TA210 |5,454.00  |5,472.00  |5,538.00  |5,450.00  |5,490.00  |5,490.00  |36.00    |36.00    |101       |3,144     |8         |277.24      |
TA211 |5,472.00  |5,468.00  |5,554.00  |5,464.00  |5,500.00  |5,512.00  |28.00    |40.00    |123       |2,901     |5         |338.90      |
TA212 |5,418.00  |5,462.00  |5,534.00  |5,454.00  |5,504.00  |5,460.00  |86.00    |42.00    |2,513     |2,524     |2,501     |6,858.62    |
TA301 |5,478.00  |5,448.00  |5,546.00  |5,448.00  |5,490.00  |5,452.00  |12.00    |-26.00   |2,661     |6,102     |2,610     |7,253.14    |
小计    |          |          |          |          |          |          |         |         |1,826,504 |2,224,648 |23,438    |4,932,331.14|
总计    |          |          |          |          |          |          |         |         |1,826,504 |2,224,648 |23,438    |4,932,331.14|
