					郑州商品交易所期货每日行情表(2021-05-19)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA105 |4,626.00  |4,598.00  |4,616.00  |4,570.00  |4,578.00  |4,592.00  |-48.00   |-34.00   |16,774    |0         |-63,137   |38,512.77   |4,712.00      
TA106 |4,640.00  |4,708.00  |4,708.00  |4,568.00  |4,590.00  |4,616.00  |-50.00   |-24.00   |1,156     |25,967    |-388      |2,667.70    |
TA107 |4,668.00  |4,742.00  |4,744.00  |4,594.00  |4,616.00  |4,658.00  |-52.00   |-10.00   |206,155   |130,870   |-633      |480,061.50  |
TA108 |4,704.00  |4,766.00  |4,768.00  |4,620.00  |4,640.00  |4,676.00  |-64.00   |-28.00   |58,246    |27,111    |-372      |136,151.47  |
TA109 |4,716.00  |4,794.00  |4,794.00  |4,638.00  |4,660.00  |4,708.00  |-56.00   |-8.00    |1,862,497 |1,866,932 |33,542    |4,383,098.15|
TA110 |4,788.00  |4,842.00  |4,868.00  |4,706.00  |4,732.00  |4,790.00  |-56.00   |2.00     |2,665     |27,950    |990       |6,381.18    |
TA111 |4,826.00  |4,868.00  |4,868.00  |4,746.00  |4,746.00  |4,782.00  |-80.00   |-44.00   |583       |13,529    |313       |1,393.69    |
TA112 |4,816.00  |4,850.00  |4,850.00  |4,742.00  |4,752.00  |4,776.00  |-64.00   |-40.00   |239       |22,882    |79        |570.77      |
TA201 |4,824.00  |4,892.00  |4,892.00  |4,732.00  |4,754.00  |4,810.00  |-70.00   |-14.00   |173,989   |399,253   |25,342    |418,347.95  |
TA202 |4,842.00  |4,894.00  |4,906.00  |4,764.00  |4,796.00  |4,878.00  |-46.00   |36.00    |2,041     |46,925    |1,496     |4,977.80    |
TA203 |4,860.00  |4,910.00  |4,922.00  |4,790.00  |4,794.00  |4,894.00  |-66.00   |34.00    |1,250     |32,837    |1,138     |3,058.22    |
TA204 |4,896.00  |4,938.00  |4,938.00  |4,820.00  |4,822.00  |4,850.00  |-74.00   |-46.00   |9         |5,137     |7         |21.82       |
小计    |          |          |          |          |          |          |         |         |2,325,604 |2,599,393 |-1,623    |5,475,243.00|
总计    |          |          |          |          |          |          |         |         |2,325,604 |2,599,393 |-1,623    |5,475,243.00|
