					郑州商品交易所期货每日行情表(2021-09-07)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA109 |4,794.00  |4,850.00  |4,850.00  |4,746.00  |4,752.00  |4,782.00  |-42.00   |-12.00   |3,127     |41,998    |-1,152    |7,501.69    |4,852.00      
TA110 |4,882.00  |4,908.00  |4,914.00  |4,862.00  |4,882.00  |4,890.00  |0.00     |8.00     |36,960    |162,244   |-5,997    |90,356.29   |
TA111 |4,882.00  |4,920.00  |4,930.00  |4,876.00  |4,896.00  |4,902.00  |14.00    |20.00    |159,199   |414,681   |-2,243    |390,177.58  |
TA112 |4,888.00  |4,926.00  |4,936.00  |4,884.00  |4,906.00  |4,914.00  |18.00    |26.00    |59,772    |157,899   |15,604    |146,836.42  |
TA201 |4,902.00  |4,934.00  |4,944.00  |4,888.00  |4,914.00  |4,916.00  |12.00    |14.00    |1,474,370 |1,466,114 |12,703    |3,624,336.42|
TA202 |4,870.00  |4,908.00  |4,926.00  |4,872.00  |4,898.00  |4,900.00  |28.00    |30.00    |1,673     |28,425    |-114      |4,098.91    |
TA203 |4,892.00  |4,900.00  |4,914.00  |4,868.00  |4,882.00  |4,894.00  |-10.00   |2.00     |2,155     |50,794    |887       |5,272.38    |
TA204 |4,902.00  |4,900.00  |4,924.00  |4,884.00  |4,902.00  |4,902.00  |0.00     |0.00     |1,264     |16,262    |932       |3,097.34    |
TA205 |4,894.00  |4,910.00  |4,926.00  |4,878.00  |4,904.00  |4,904.00  |10.00    |10.00    |26,324    |176,061   |5,202     |64,549.94   |
TA206 |4,896.00  |4,902.00  |4,916.00  |4,894.00  |4,894.00  |4,896.00  |-2.00    |0.00     |107       |7,540     |-99       |261.88      |
TA207 |4,912.00  |4,916.00  |4,936.00  |4,894.00  |4,904.00  |4,920.00  |-8.00    |8.00     |4,045     |19,843    |3,982     |9,948.68    |
TA208 |4,912.00  |4,942.00  |4,942.00  |4,914.00  |4,930.00  |4,930.00  |18.00    |18.00    |4,005     |7,069     |4,005     |9,872.30    |
小计    |          |          |          |          |          |          |         |         |1,773,001 |2,548,930 |33,710    |4,356,309.81|
总计    |          |          |          |          |          |          |         |         |1,773,001 |2,548,930 |33,710    |4,356,309.81|
