					郑州商品交易所期货每日行情表(2021-09-02)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA109 |4,790.00  |4,788.00  |4,808.00  |4,700.00  |4,702.00  |4,756.00  |-88.00   |-34.00   |4,651     |45,706    |-3,239    |11,058.20   |4,896.00      
TA110 |4,884.00  |4,898.00  |4,908.00  |4,796.00  |4,800.00  |4,838.00  |-84.00   |-46.00   |108,023   |178,167   |-20,476   |261,334.93  |
TA111 |4,894.00  |4,920.00  |4,920.00  |4,810.00  |4,812.00  |4,852.00  |-82.00   |-42.00   |126,782   |396,587   |-1,594    |307,546.22  |
TA112 |4,908.00  |4,922.00  |4,930.00  |4,818.00  |4,820.00  |4,856.00  |-88.00   |-52.00   |95,403    |112,079   |34,589    |231,612.43  |
TA201 |4,912.00  |4,930.00  |4,936.00  |4,822.00  |4,832.00  |4,866.00  |-80.00   |-46.00   |2,089,666 |1,602,288 |33,988    |5,084,464.73|
TA202 |4,906.00  |4,886.00  |4,886.00  |4,804.00  |4,812.00  |4,834.00  |-94.00   |-72.00   |1,069     |28,502    |46        |2,583.53    |
TA203 |4,882.00  |4,900.00  |4,900.00  |4,800.00  |4,814.00  |4,840.00  |-68.00   |-42.00   |1,882     |48,057    |630       |4,554.52    |
TA204 |4,882.00  |4,876.00  |4,900.00  |4,788.00  |4,832.00  |4,840.00  |-50.00   |-42.00   |2,218     |10,684    |2,159     |5,367.99    |
TA205 |4,888.00  |4,896.00  |4,902.00  |4,812.00  |4,824.00  |4,846.00  |-64.00   |-42.00   |37,462    |168,556   |2,384     |90,763.62   |
TA206 |4,868.00  |4,882.00  |4,904.00  |4,800.00  |4,816.00  |4,872.00  |-52.00   |4.00     |643       |2,556     |617       |1,566.39    |
TA207 |4,884.00  |4,900.00  |4,922.00  |4,808.00  |4,828.00  |4,864.00  |-56.00   |-20.00   |2,199     |3,225     |2,179     |5,346.99    |
TA208 |4,950.00  |4,874.00  |4,902.00  |4,874.00  |4,880.00  |4,876.00  |-70.00   |-74.00   |35        |71        |32        |85.33       |
小计    |          |          |          |          |          |          |         |         |2,470,033 |2,596,478 |51,315    |6,006,284.87|
总计    |          |          |          |          |          |          |         |         |2,470,033 |2,596,478 |51,315    |6,006,284.87|
