					郑州商品交易所期货每日行情表(2021-11-09)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA111 |4,924.00  |5,040.00  |5,066.00  |5,016.00  |5,022.00  |5,036.00  |98.00    |112.00   |1,536     |35,607    |235       |3,867.43    |5,082.00      
TA112 |4,978.00  |5,094.00  |5,094.00  |5,030.00  |5,048.00  |5,060.00  |70.00    |82.00    |10,864    |67,148    |-6,749    |27,479.13   |
TA201 |5,050.00  |5,128.00  |5,128.00  |5,056.00  |5,078.00  |5,092.00  |28.00    |42.00    |980,946   |1,052,411 |-29,464   |2,496,792.80|
TA202 |5,090.00  |5,148.00  |5,148.00  |5,084.00  |5,106.00  |5,116.00  |16.00    |26.00    |42,738    |371,418   |2,449     |109,302.83  |
TA203 |5,118.00  |5,170.00  |5,170.00  |5,104.00  |5,124.00  |5,146.00  |6.00     |28.00    |68,994    |290,990   |18,236    |177,501.42  |
TA204 |5,144.00  |5,172.00  |5,186.00  |5,128.00  |5,142.00  |5,150.00  |-2.00    |6.00     |2,146     |21,302    |209       |5,525.46    |
TA205 |5,140.00  |5,202.00  |5,206.00  |5,144.00  |5,164.00  |5,176.00  |24.00    |36.00    |101,734   |247,274   |1,268     |263,247.16  |
TA206 |5,146.00  |5,182.00  |5,202.00  |5,102.00  |5,162.00  |5,166.00  |16.00    |20.00    |59        |2,286     |2         |152.37      |
TA207 |5,074.00  |5,218.00  |5,220.00  |5,122.00  |5,184.00  |5,214.00  |110.00   |140.00   |2,300     |22,643    |1,829     |5,995.89    |
TA208 |5,186.00  |5,218.00  |5,230.00  |5,174.00  |5,174.00  |5,218.00  |-12.00   |32.00    |2,007     |6,824     |2,002     |5,236.22    |
TA209 |5,170.00  |5,232.00  |5,246.00  |5,188.00  |5,210.00  |5,220.00  |40.00    |50.00    |1,445     |7,841     |139       |3,770.44    |
TA210 |5,240.00  |0.00      |0.00      |0.00      |0.00      |5,240.00  |0.00     |0.00     |0         |10        |0         |0.00        |
小计    |          |          |          |          |          |          |         |         |1,214,769 |2,125,754 |-9,844    |3,098,871.15|
总计    |          |          |          |          |          |          |         |         |1,214,769 |2,125,754 |-9,844    |3,098,871.15|
