					郑州商品交易所期货每日行情表(2021-04-07)
品种月份|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA104   |4,392.00  |4,510.00  |4,518.00  |4,488.00  |4,518.00  |4,504.00  |126.00   |112.00   |232       |8,802     |53        |522.49      |4,376.00
TA105   |4,444.00  |4,532.00  |4,562.00  |4,500.00  |4,546.00  |4,530.00  |102.00   |86.00    |384,451   |795,941   |-87,226   |870,534.09  |
TA106   |4,476.00  |4,550.00  |4,590.00  |4,528.00  |4,578.00  |4,558.00  |102.00   |82.00    |152,530   |50,951    |5,356     |347,505.04  |
TA107   |4,502.00  |4,578.00  |4,620.00  |4,558.00  |4,608.00  |4,590.00  |106.00   |88.00    |80,371    |65,849    |4,585     |184,402.84  |
TA108   |4,536.00  |4,594.00  |4,648.00  |4,586.00  |4,638.00  |4,614.00  |102.00   |78.00    |10,242    |9,041     |304       |23,629.95   |
TA109   |4,558.00  |4,628.00  |4,676.00  |4,610.00  |4,662.00  |4,642.00  |104.00   |84.00    |1,334,944 |1,647,638 |58,941    |3,098,154.27|
TA110   |4,706.00  |4,720.00  |4,794.00  |4,714.00  |4,768.00  |4,768.00  |62.00    |62.00    |1,147     |7,048     |-66       |2,734.55    |
TA111   |4,704.00  |4,722.00  |4,788.00  |4,716.00  |4,764.00  |4,756.00  |60.00    |52.00    |724       |15,191    |90        |1,721.30    |
TA112   |4,734.00  |4,738.00  |4,808.00  |4,738.00  |4,784.00  |4,770.00  |50.00    |36.00    |196       |7,079     |-46       |467.38      |
TA201   |4,718.00  |4,762.00  |4,812.00  |4,748.00  |4,798.00  |4,778.00  |80.00    |60.00    |41,466    |170,751   |11,958    |99,035.52   |
TA202   |4,752.00  |4,830.00  |4,838.00  |4,774.00  |4,822.00  |4,794.00  |70.00    |42.00    |1,871     |18,311    |-1,741    |4,483.61    |
TA203   |4,780.00  |4,818.00  |4,864.00  |4,808.00  |4,852.00  |4,836.00  |72.00    |56.00    |108       |4,750     |43        |261.07      |
小计    |          |          |          |          |          |          |         |         |2,008,282 |2,801,352 |-7,749    |4,633,452.10|
总计    |          |          |          |          |          |          |         |         |2,008,282 |2,801,352 |-7,749    |4,633,452.10|

