					郑州商品交易所期货每日行情表(2021-12-21)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA201 |4,574.00  |4,500.00  |4,628.00  |4,488.00  |4,610.00  |4,558.00  |36.00    |-16.00   |114,250   |181,078   |-25,192   |260,304.65  |
TA202 |4,564.00  |4,488.00  |4,620.00  |4,476.00  |4,604.00  |4,554.00  |40.00    |-10.00   |77,825    |239,380   |3,308     |177,191.57  |
TA203 |4,572.00  |4,496.00  |4,634.00  |4,484.00  |4,618.00  |4,562.00  |46.00    |-10.00   |176,681   |409,175   |6,158     |403,026.00  |
TA204 |4,600.00  |4,524.00  |4,658.00  |4,508.00  |4,646.00  |4,594.00  |46.00    |-6.00    |11,133    |31,038    |205       |25,568.81   |
TA205 |4,630.00  |4,538.00  |4,680.00  |4,528.00  |4,666.00  |4,606.00  |36.00    |-24.00   |1,323,033 |1,049,601 |-61,187   |3,046,858.56|
TA206 |4,616.00  |4,554.00  |4,680.00  |4,554.00  |4,676.00  |4,628.00  |60.00    |12.00    |91        |2,630     |1         |210.52      |
TA207 |4,644.00  |4,590.00  |4,706.00  |4,566.00  |4,692.00  |4,624.00  |48.00    |-20.00   |415       |25,888    |4         |959.47      |
TA208 |4,664.00  |4,592.00  |4,708.00  |4,592.00  |4,708.00  |4,670.00  |44.00    |6.00     |93        |15,987    |-16       |217.11      |
TA209 |4,682.00  |4,610.00  |4,730.00  |4,588.00  |4,716.00  |4,664.00  |34.00    |-18.00   |16,395    |52,576    |-305      |38,236.33   |
TA210 |4,724.00  |4,686.00  |4,788.00  |4,686.00  |4,774.00  |4,738.00  |50.00    |14.00    |43        |81        |-8        |101.87      |
TA211 |4,722.00  |4,750.00  |4,802.00  |4,750.00  |4,792.00  |4,782.00  |70.00    |60.00    |10        |931       |2         |23.91       |
TA212 |4,720.00  |0.00      |0.00      |0.00      |0.00      |4,794.00  |74.00    |74.00    |0         |1         |0         |0.00        |
小计    |          |          |          |          |          |          |         |         |1,719,969 |2,008,366 |-77,030   |3,952,698.79|
总计    |          |          |          |          |          |          |         |         |1,719,969 |2,008,366 |-77,030   |3,952,698.79|
