					郑州商品交易所期货每日行情表(2021-03-31)
品种月份|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA104   |4,398.00  |4,374.00  |4,390.00  |4,348.00  |4,348.00  |4,372.00  |-50.00   |-26.00   |709       |8,731     |-25       |1,549.93    |
TA105   |4,430.00  |4,392.00  |4,444.00  |4,374.00  |4,382.00  |4,404.00  |-48.00   |-26.00   |765,300   |1,176,647 |-48,920   |1,685,041.14|
TA106   |4,450.00  |4,412.00  |4,470.00  |4,396.00  |4,414.00  |4,426.00  |-36.00   |-24.00   |133,515   |34,630    |5,309     |295,457.27  |
TA107   |4,476.00  |4,440.00  |4,494.00  |4,420.00  |4,436.00  |4,450.00  |-40.00   |-26.00   |61,224    |39,026    |2,599     |136,218.87  |
TA108   |4,500.00  |4,462.00  |4,514.00  |4,442.00  |4,458.00  |4,472.00  |-42.00   |-28.00   |5,714     |6,339     |-733      |12,773.68   |
TA109   |4,510.00  |4,460.00  |4,528.00  |4,454.00  |4,470.00  |4,484.00  |-40.00   |-26.00   |729,675   |1,393,400 |37,410    |1,635,418.37|
TA110   |4,630.00  |4,600.00  |4,640.00  |4,580.00  |4,594.00  |4,604.00  |-36.00   |-26.00   |123       |8,608     |-44       |283.12      |
TA111   |4,642.00  |4,614.00  |4,642.00  |4,592.00  |4,604.00  |4,612.00  |-38.00   |-30.00   |67        |15,765    |-26       |154.49      |
TA112   |4,638.00  |4,626.00  |4,626.00  |4,604.00  |4,606.00  |4,614.00  |-32.00   |-24.00   |33        |7,988     |7         |76.12       |
TA201   |4,646.00  |4,600.00  |4,658.00  |4,592.00  |4,614.00  |4,616.00  |-32.00   |-30.00   |19,802    |146,205   |3,526     |45,694.04   |
TA202   |4,690.00  |4,622.00  |4,680.00  |4,622.00  |4,630.00  |4,640.00  |-60.00   |-50.00   |94        |20,036    |0         |218.04      |
TA203   |4,674.00  |4,666.00  |4,702.00  |4,654.00  |4,660.00  |4,668.00  |-14.00   |-6.00    |69        |4,660     |28        |161.01      |
小计    |          |          |          |          |          |          |         |         |1,716,325 |2,862,035 |-869      |3,813,046.06|
总计    |          |          |          |          |          |          |         |         |1,716,325 |2,862,035 |-869      |3,813,046.06|

