					郑州商品交易所期货每日行情表(2021-04-23)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA105 |4,518.00  |4,512.00  |4,556.00  |4,504.00  |4,542.00  |4,530.00  |24.00    |12.00    |76,953    |248,674   |-35,005   |174,212.16  |
TA106 |4,558.00  |4,570.00  |4,590.00  |4,538.00  |4,570.00  |4,566.00  |12.00    |8.00     |166,932   |49,981    |-912      |381,035.55  |
TA107 |4,586.00  |4,586.00  |4,620.00  |4,566.00  |4,600.00  |4,594.00  |14.00    |8.00     |70,050    |128,681   |4,750     |160,906.24  |
TA108 |4,578.00  |4,608.00  |4,644.00  |4,592.00  |4,626.00  |4,620.00  |48.00    |42.00    |7,610     |3,884     |-1,529    |17,576.41   |
TA109 |4,634.00  |4,630.00  |4,664.00  |4,608.00  |4,646.00  |4,640.00  |12.00    |6.00     |1,269,926 |1,873,648 |6,290     |2,945,858.48|
TA110 |4,712.00  |4,724.00  |4,740.00  |4,710.00  |4,722.00  |4,730.00  |10.00    |18.00    |45        |6,835     |-14       |106.42      |
TA111 |4,718.00  |4,734.00  |4,742.00  |4,704.00  |4,720.00  |4,728.00  |2.00     |10.00    |60        |10,950    |9         |141.84      |
TA112 |4,732.00  |4,744.00  |4,754.00  |4,730.00  |4,742.00  |4,744.00  |10.00    |12.00    |24        |6,675     |-1        |56.92       |
TA201 |4,734.00  |4,746.00  |4,772.00  |4,716.00  |4,754.00  |4,750.00  |20.00    |16.00    |69,877    |303,197   |3,764     |165,944.26  |
TA202 |4,780.00  |4,786.00  |4,792.00  |4,752.00  |4,752.00  |4,782.00  |-28.00   |2.00     |25        |22,006    |6         |59.77       |
TA203 |4,808.00  |4,810.00  |4,820.00  |4,776.00  |4,806.00  |4,794.00  |-2.00    |-14.00   |223       |13,605    |159       |534.54      |
TA204 |4,846.00  |4,842.00  |4,848.00  |4,834.00  |4,834.00  |4,842.00  |-12.00   |-4.00    |3         |15        |2         |7.26        |
小计    |          |          |          |          |          |          |         |         |1,661,728 |2,668,151 |-22,481   |3,846,439.83|
总计    |          |          |          |          |          |          |         |         |1,661,728 |2,668,151 |-22,481   |3,846,439.83|
