					郑州商品交易所期货每日行情表(2021-03-24)
品种月份|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA104   |4,318.00  |4,262.00  |4,322.00  |4,232.00  |4,304.00  |4,274.00  |-14.00   |-44.00   |45        |9,002     |-3        |96.15       |
TA105   |4,362.00  |4,278.00  |4,360.00  |4,242.00  |4,330.00  |4,304.00  |-32.00   |-58.00   |1,508,716 |1,393,316 |-13,718   |3,247,228.73|
TA106   |4,396.00  |4,312.00  |4,388.00  |4,272.00  |4,358.00  |4,334.00  |-38.00   |-62.00   |202,872   |43,296    |1,876     |439,655.07  |
TA107   |4,424.00  |4,338.00  |4,414.00  |4,302.00  |4,384.00  |4,362.00  |-40.00   |-62.00   |79,580    |34,081    |3,020     |173,579.31  |
TA108   |4,430.00  |4,372.00  |4,432.00  |4,324.00  |4,400.00  |4,376.00  |-30.00   |-54.00   |8,762     |6,422     |-204      |19,171.86   |
TA109   |4,454.00  |4,380.00  |4,446.00  |4,336.00  |4,416.00  |4,392.00  |-38.00   |-62.00   |721,350   |1,195,929 |19,138    |1,583,929.85|
TA110   |4,588.00  |4,504.00  |4,576.00  |4,468.00  |4,544.00  |4,526.00  |-44.00   |-62.00   |290       |8,651     |-26       |656.08      |
TA111   |4,594.00  |4,512.00  |4,586.00  |4,488.00  |4,562.00  |4,550.00  |-32.00   |-44.00   |760       |15,800    |308       |1,729.00    |
TA112   |4,596.00  |4,518.00  |4,588.00  |4,494.00  |4,570.00  |4,540.00  |-26.00   |-56.00   |145       |8,000     |63        |329.18      |
TA201   |4,612.00  |4,514.00  |4,594.00  |4,486.00  |4,562.00  |4,540.00  |-50.00   |-72.00   |19,190    |138,964   |4,349     |43,553.03   |
TA202   |4,622.00  |4,532.00  |4,622.00  |4,510.00  |4,590.00  |4,568.00  |-32.00   |-54.00   |489       |18,593    |276       |1,116.66    |
TA203   |4,670.00  |4,600.00  |4,610.00  |4,544.00  |4,606.00  |4,580.00  |-64.00   |-90.00   |304       |4,245     |249       |696.05      |
小计    |          |          |          |          |          |          |         |         |2,542,503 |2,876,299 |15,328    |5,511,740.95|
总计    |          |          |          |          |          |          |         |         |2,542,503 |2,876,299 |15,328    |5,511,740.95|

