					郑州商品交易所期货每日行情表(2021-04-02)
品种月份|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA104   |4,360.00  |4,400.00  |4,424.00  |4,400.00  |4,424.00  |4,406.00  |64.00    |46.00    |22        |8,749     |21        |48.46       |4,348.00
TA105   |4,362.00  |4,392.00  |4,482.00  |4,374.00  |4,466.00  |4,434.00  |104.00   |72.00    |763,926   |945,843   |-155,997  |1,692,806.22|
TA106   |4,390.00  |4,406.00  |4,514.00  |4,404.00  |4,490.00  |4,460.00  |100.00   |70.00    |168,805   |45,059    |7,074     |376,400.63  |
TA107   |4,412.00  |4,436.00  |4,538.00  |4,430.00  |4,518.00  |4,490.00  |106.00   |78.00    |85,472    |53,686    |5,714     |191,822.40  |
TA108   |4,436.00  |4,470.00  |4,566.00  |4,454.00  |4,548.00  |4,524.00  |112.00   |88.00    |13,166    |7,729     |2,316     |29,772.75   |
TA109   |4,448.00  |4,462.00  |4,592.00  |4,462.00  |4,564.00  |4,528.00  |116.00   |80.00    |1,290,937 |1,489,603 |43,333    |2,922,986.92|
TA110   |4,590.00  |4,620.00  |4,694.00  |4,590.00  |4,684.00  |4,656.00  |94.00    |66.00    |189       |6,898     |-28       |439.85      |
TA111   |4,600.00  |4,604.00  |4,722.00  |4,604.00  |4,698.00  |4,684.00  |98.00    |84.00    |108       |14,949    |-19       |252.91      |
TA112   |4,602.00  |4,656.00  |4,724.00  |4,624.00  |4,716.00  |4,690.00  |114.00   |88.00    |46        |7,178     |-5        |107.87      |
TA201   |4,588.00  |4,588.00  |4,728.00  |4,588.00  |4,708.00  |4,664.00  |120.00   |76.00    |24,037    |149,876   |-1,276    |56,055.99   |
TA202   |4,600.00  |4,626.00  |4,742.00  |4,626.00  |4,734.00  |4,698.00  |134.00   |98.00    |91        |20,050    |-16       |213.74      |
TA203   |4,624.00  |4,650.00  |4,756.00  |4,650.00  |4,756.00  |4,714.00  |132.00   |90.00    |67        |4,684     |17        |157.91      |
小计    |          |          |          |          |          |          |         |         |2,346,866 |2,754,304 |-98,866   |5,271,065.62|
总计    |          |          |          |          |          |          |         |         |2,346,866 |2,754,304 |-98,866   |5,271,065.62|

