					郑州商品交易所期货每日行情表(2022-01-13)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA201 |5,178.00  |5,166.00  |5,274.00  |5,166.00  |5,202.00  |5,216.00  |24.00    |38.00    |1,544     |20,778    |-1,540    |3,968.66    |5,076.00      
TA202 |5,190.00  |5,176.00  |5,272.00  |5,176.00  |5,206.00  |5,218.00  |16.00    |28.00    |26,129    |54,169    |-20,328   |68,158.09   |
TA203 |5,190.00  |5,204.00  |5,294.00  |5,202.00  |5,220.00  |5,238.00  |30.00    |48.00    |163,267   |412,045   |3,407     |427,608.81  |
TA204 |5,210.00  |5,220.00  |5,310.00  |5,220.00  |5,238.00  |5,256.00  |28.00    |46.00    |123,285   |271,380   |54,961    |323,971.08  |
TA205 |5,226.00  |5,236.00  |5,330.00  |5,236.00  |5,256.00  |5,276.00  |30.00    |50.00    |1,122,416 |1,241,224 |43,082    |2,960,427.34|
TA206 |5,226.00  |5,244.00  |5,338.00  |5,244.00  |5,266.00  |5,268.00  |40.00    |42.00    |8,393     |34,604    |3,628     |22,105.49   |
TA207 |5,276.00  |5,240.00  |5,350.00  |5,240.00  |5,282.00  |5,260.00  |6.00     |-16.00   |4,056     |24,483    |1,744     |10,664.32   |
TA208 |5,290.00  |5,250.00  |5,358.00  |5,250.00  |5,294.00  |5,258.00  |4.00     |-32.00   |2,884     |15,914    |2,423     |7,580.15    |
TA209 |5,280.00  |5,288.00  |5,372.00  |5,286.00  |5,304.00  |5,312.00  |24.00    |32.00    |34,715    |89,032    |7,631     |92,180.48   |
TA210 |5,318.00  |5,392.00  |5,410.00  |5,344.00  |5,362.00  |5,390.00  |44.00    |72.00    |12        |100       |9         |32.34       |
TA211 |5,320.00  |5,362.00  |5,426.00  |5,358.00  |5,366.00  |5,392.00  |46.00    |72.00    |19        |883       |0         |51.23       |
TA212 |5,316.00  |5,378.00  |5,412.00  |5,378.00  |5,390.00  |5,390.00  |74.00    |74.00    |7         |16        |-1        |18.86       |
小计    |          |          |          |          |          |          |         |         |1,486,727 |2,164,628 |95,016    |3,916,766.84|
总计    |          |          |          |          |          |          |         |         |1,486,727 |2,164,628 |95,016    |3,916,766.84|
