					郑州商品交易所期货每日行情表(2021-09-22)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA110 |4,936.00  |4,908.00  |4,908.00  |4,790.00  |4,876.00  |4,856.00  |-60.00   |-80.00   |9,303     |74,284    |-7,581    |22,586.41   |
TA111 |4,940.00  |4,902.00  |4,916.00  |4,794.00  |4,882.00  |4,846.00  |-58.00   |-94.00   |152,350   |358,538   |-6,127    |369,037.75  |
TA112 |4,948.00  |4,914.00  |4,928.00  |4,804.00  |4,886.00  |4,854.00  |-62.00   |-94.00   |98,487    |208,503   |-889      |238,976.85  |
TA201 |4,952.00  |4,920.00  |4,936.00  |4,810.00  |4,896.00  |4,866.00  |-56.00   |-86.00   |1,238,203 |1,332,955 |-4,522    |3,011,637.18|
TA202 |4,950.00  |4,922.00  |4,922.00  |4,816.00  |4,890.00  |4,854.00  |-60.00   |-96.00   |2,401     |34,223    |111       |5,826.47    |
TA203 |4,914.00  |4,880.00  |4,892.00  |4,806.00  |4,864.00  |4,846.00  |-50.00   |-68.00   |2,788     |65,699    |227       |6,753.32    |
TA204 |4,934.00  |4,864.00  |4,900.00  |4,820.00  |4,888.00  |4,862.00  |-46.00   |-72.00   |275       |20,662    |16        |668.58      |
TA205 |4,944.00  |4,912.00  |4,922.00  |4,836.00  |4,894.00  |4,874.00  |-50.00   |-70.00   |31,137    |189,393   |2,139     |75,875.23   |
TA206 |4,942.00  |4,878.00  |4,894.00  |4,830.00  |4,890.00  |4,856.00  |-52.00   |-86.00   |101       |8,731     |14        |245.18      |
TA207 |4,948.00  |4,910.00  |4,910.00  |4,842.00  |4,908.00  |4,878.00  |-40.00   |-70.00   |131       |27,349    |41        |319.41      |
TA208 |4,962.00  |4,908.00  |4,926.00  |4,876.00  |4,926.00  |4,890.00  |-36.00   |-72.00   |33        |13,103    |8         |80.68       |
TA209 |4,988.00  |5,060.00  |5,060.00  |4,886.00  |4,952.00  |4,920.00  |-36.00   |-68.00   |108       |238       |62        |265.60      |
小计    |          |          |          |          |          |          |         |         |1,535,317 |2,333,678 |-16,501   |3,732,272.68|
总计    |          |          |          |          |          |          |         |         |1,535,317 |2,333,678 |-16,501   |3,732,272.68|
