					郑州商品交易所期货每日行情表(2021-03-19)
品种月份|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA104   |4,506.00  |4,540.00  |4,542.00  |4,280.00  |4,280.00  |4,398.00  |-226.00  |-108.00  |172       |9,135     |-16       |378.12      |
TA105   |4,532.00  |4,558.00  |4,584.00  |4,304.00  |4,306.00  |4,432.00  |-226.00  |-100.00  |2,192,428 |1,418,545 |-26,715   |4,857,849.68|
TA106   |4,562.00  |4,578.00  |4,614.00  |4,332.00  |4,338.00  |4,488.00  |-224.00  |-74.00   |281,149   |41,290    |-1,422    |630,918.67  |
TA107   |4,586.00  |4,604.00  |4,638.00  |4,356.00  |4,358.00  |4,512.00  |-228.00  |-74.00   |64,116    |27,181    |890       |144,602.01  |
TA108   |4,598.00  |4,628.00  |4,658.00  |4,368.00  |4,372.00  |4,496.00  |-226.00  |-102.00  |16,694    |3,149     |139       |37,528.42   |
TA109   |4,616.00  |4,630.00  |4,668.00  |4,384.00  |4,388.00  |4,510.00  |-228.00  |-106.00  |1,058,880 |1,154,987 |37,100    |2,387,905.31|
TA110   |4,736.00  |4,748.00  |4,788.00  |4,508.00  |4,512.00  |4,618.00  |-224.00  |-118.00  |757       |8,579     |10        |1,747.92    |
TA111   |4,732.00  |4,788.00  |4,788.00  |4,512.00  |4,512.00  |4,618.00  |-220.00  |-114.00  |716       |13,635    |-360      |1,653.04    |
TA112   |4,748.00  |4,788.00  |4,788.00  |4,522.00  |4,536.00  |4,548.00  |-212.00  |-200.00  |2,376     |7,845     |1,352     |5,403.32    |
TA201   |4,758.00  |4,774.00  |4,812.00  |4,526.00  |4,542.00  |4,648.00  |-216.00  |-110.00  |32,333    |133,191   |4,822     |75,129.23   |
TA202   |4,780.00  |4,822.00  |4,822.00  |4,548.00  |4,558.00  |4,654.00  |-222.00  |-126.00  |1,870     |17,940    |1,684     |4,351.63    |
TA203   |4,812.00  |4,820.00  |4,820.00  |4,572.00  |4,590.00  |4,574.00  |-222.00  |-238.00  |1,844     |3,842     |1,835     |4,216.69    |
小计    |          |          |          |          |          |          |         |         |3,653,335 |2,839,319 |19,319    |8,151,684.00|
总计    |          |          |          |          |          |          |         |         |3,653,335 |2,839,319 |19,319    |8,151,684.00|

