					郑州商品交易所期货每日行情表(2021-03-10)
品种月份|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA103   |4,612.00  |4,520.00  |4,530.00  |4,384.00  |4,390.00  |4,402.00  |-222.00  |-210.00  |3,228     |27,571    |2,079     |7,104.08    |4,622.00
TA104   |4,652.00  |4,582.00  |4,590.00  |4,418.00  |4,418.00  |4,514.00  |-234.00  |-138.00  |2,691     |9,339     |-360      |6,072.34    |
TA105   |4,684.00  |4,628.00  |4,630.00  |4,448.00  |4,448.00  |4,512.00  |-236.00  |-172.00  |1,978,373 |1,686,165 |8,048     |4,461,932.37|
TA106   |4,720.00  |4,654.00  |4,656.00  |4,484.00  |4,484.00  |4,574.00  |-236.00  |-146.00  |188,998   |40,660    |1,861     |432,109.75  |
TA107   |4,738.00  |4,676.00  |4,680.00  |4,500.00  |4,500.00  |4,582.00  |-238.00  |-156.00  |46,686    |20,721    |2,737     |106,925.96  |
TA108   |4,750.00  |4,690.00  |4,690.00  |4,512.00  |4,512.00  |4,586.00  |-238.00  |-164.00  |9,481     |1,902     |713       |21,741.80   |
TA109   |4,766.00  |4,710.00  |4,714.00  |4,526.00  |4,526.00  |4,598.00  |-240.00  |-168.00  |791,109   |1,045,397 |6,980     |1,818,189.48|
TA110   |4,904.00  |4,816.00  |4,824.00  |4,658.00  |4,658.00  |4,738.00  |-246.00  |-166.00  |893       |13,238    |101       |2,114.88    |
TA111   |4,896.00  |4,838.00  |4,838.00  |4,650.00  |4,666.00  |4,694.00  |-230.00  |-202.00  |651       |16,895    |-47       |1,527.89    |
TA112   |4,918.00  |4,838.00  |4,844.00  |4,672.00  |4,672.00  |4,742.00  |-246.00  |-176.00  |236       |16,488    |-50       |559.41      |
TA201   |4,932.00  |4,880.00  |4,880.00  |4,684.00  |4,690.00  |4,770.00  |-242.00  |-162.00  |28,826    |111,395   |1,896     |68,731.69   |
TA202   |4,950.00  |4,872.00  |4,888.00  |4,702.00  |4,706.00  |4,864.00  |-244.00  |-86.00   |2,191     |7,981     |2,053     |5,328.87    |
小计    |          |          |          |          |          |          |         |         |3,053,363 |2,997,752 |26,011    |6,932,338.50|
总计    |          |          |          |          |          |          |         |         |3,053,363 |2,997,752 |26,011    |6,932,338.50|

