					郑州商品交易所期货每日行情表(2021-07-08)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA107 |5,254.00  |5,092.00  |5,118.00  |4,910.00  |4,956.00  |5,012.00  |-298.00  |-242.00  |2,681     |27,119    |-767      |6,717.05    |5,144.00      
TA108 |5,194.00  |5,094.00  |5,120.00  |4,904.00  |4,952.00  |4,996.00  |-242.00  |-198.00  |9,375     |14,433    |-2,527    |23,415.83   |
TA109 |5,180.00  |5,106.00  |5,134.00  |4,914.00  |4,962.00  |5,004.00  |-218.00  |-176.00  |2,632,247 |1,391,711 |-214,327  |6,584,970.49|
TA110 |5,136.00  |5,094.00  |5,118.00  |4,938.00  |4,996.00  |5,014.00  |-140.00  |-122.00  |84,566    |212,441   |-5,424    |211,943.98  |
TA111 |5,140.00  |5,080.00  |5,114.00  |4,940.00  |4,992.00  |5,018.00  |-148.00  |-122.00  |49,041    |99,575    |4,897     |123,023.30  |
TA112 |5,140.00  |5,106.00  |5,124.00  |4,954.00  |5,010.00  |5,014.00  |-130.00  |-126.00  |7,296     |10,264    |77        |18,286.17   |
TA201 |5,140.00  |5,116.00  |5,136.00  |4,968.00  |5,020.00  |5,034.00  |-120.00  |-106.00  |585,769   |737,755   |-11,969   |1,474,260.38|
TA202 |5,192.00  |5,106.00  |5,138.00  |4,994.00  |5,042.00  |5,100.00  |-150.00  |-92.00   |2,379     |32,453    |-2,137    |6,066.09    |
TA203 |5,206.00  |5,148.00  |5,152.00  |5,000.00  |5,058.00  |5,050.00  |-148.00  |-156.00  |234       |29,574    |4         |590.88      |
TA204 |5,150.00  |5,152.00  |5,152.00  |5,032.00  |5,064.00  |5,068.00  |-86.00   |-82.00   |37        |7,130     |-5        |93.76       |
TA205 |5,146.00  |5,130.00  |5,154.00  |5,020.00  |5,072.00  |5,074.00  |-74.00   |-72.00   |9,490     |32,063    |1,277     |24,072.50   |
TA206 |5,204.00  |5,114.00  |5,114.00  |5,042.00  |5,046.00  |5,076.00  |-158.00  |-128.00  |27        |179       |2         |68.51       |
小计    |          |          |          |          |          |          |         |         |3,383,142 |2,594,697 |-230,899  |8,473,508.92|
总计    |          |          |          |          |          |          |         |         |3,383,142 |2,594,697 |-230,899  |8,473,508.92|
