					郑州商品交易所期货每日行情表(2021-03-26)
品种月份|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA104   |4,300.00  |4,290.00  |4,416.00  |4,242.00  |4,402.00  |4,328.00  |102.00   |28.00    |343       |8,805     |-189      |742.13      |
TA105   |4,340.00  |4,286.00  |4,456.00  |4,260.00  |4,432.00  |4,354.00  |92.00    |14.00    |1,364,041 |1,325,130 |-56,198   |2,969,215.05|
TA106   |4,364.00  |4,318.00  |4,470.00  |4,290.00  |4,454.00  |4,366.00  |90.00    |2.00     |233,933   |34,413    |-10,908   |510,657.62  |
TA107   |4,392.00  |4,338.00  |4,496.00  |4,318.00  |4,482.00  |4,394.00  |90.00    |2.00     |72,006    |32,793    |-2,396    |158,149.78  |
TA108   |4,420.00  |4,342.00  |4,516.00  |4,340.00  |4,500.00  |4,428.00  |80.00    |8.00     |10,008    |7,660     |543       |22,154.04   |
TA109   |4,428.00  |4,380.00  |4,530.00  |4,354.00  |4,518.00  |4,438.00  |90.00    |10.00    |830,874   |1,248,809 |12,986    |1,843,611.62|
TA110   |4,556.00  |4,516.00  |4,650.00  |4,490.00  |4,632.00  |4,560.00  |76.00    |4.00     |305       |8,591     |-56       |695.45      |
TA111   |4,584.00  |4,530.00  |4,662.00  |4,510.00  |4,650.00  |4,586.00  |66.00    |2.00     |218       |15,794    |-9        |499.79      |
TA112   |4,570.00  |4,534.00  |4,660.00  |4,510.00  |4,644.00  |4,566.00  |74.00    |-4.00    |58        |7,995     |-8        |132.42      |
TA201   |4,582.00  |4,530.00  |4,676.00  |4,504.00  |4,650.00  |4,604.00  |68.00    |22.00    |17,347    |140,371   |1,082     |39,935.77   |
TA202   |4,608.00  |4,568.00  |4,688.00  |4,544.00  |4,674.00  |4,582.00  |66.00    |-26.00   |242       |18,768    |135       |554.38      |
TA203   |4,616.00  |4,576.00  |4,710.00  |4,560.00  |4,710.00  |4,588.00  |94.00    |-28.00   |136       |4,351     |104       |311.94      |
小计    |          |          |          |          |          |          |         |         |2,529,511 |2,853,480 |-54,914   |5,546,659.97|
总计    |          |          |          |          |          |          |         |         |2,529,511 |2,853,480 |-54,914   |5,546,659.97|

