					郑州商品交易所期货每日行情表(2021-11-16)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA112 |4,932.00  |4,898.00  |5,014.00  |4,832.00  |4,980.00  |4,972.00  |48.00    |40.00    |6,025     |35,505    |-1,899    |14,978.68   |
TA201 |4,966.00  |4,920.00  |5,046.00  |4,852.00  |5,012.00  |4,962.00  |46.00    |-4.00    |1,568,364 |966,842   |-73,324   |3,890,921.89|
TA202 |4,990.00  |4,944.00  |5,066.00  |4,878.00  |5,034.00  |4,988.00  |44.00    |-2.00    |95,878    |346,248   |-5,799    |239,130.68  |
TA203 |5,012.00  |4,962.00  |5,086.00  |4,900.00  |5,052.00  |5,018.00  |40.00    |6.00     |119,105   |369,259   |8,149     |298,785.99  |
TA204 |5,034.00  |4,946.00  |5,104.00  |4,926.00  |5,068.00  |5,020.00  |34.00    |-14.00   |6,782     |21,068    |-404      |17,023.02   |
TA205 |5,052.00  |5,010.00  |5,118.00  |4,940.00  |5,090.00  |5,040.00  |38.00    |-12.00   |190,705   |275,953   |4,725     |480,481.85  |
TA206 |5,048.00  |4,968.00  |5,168.00  |4,964.00  |5,088.00  |5,096.00  |40.00    |48.00    |202       |2,133     |-144      |514.69      |
TA207 |5,062.00  |4,980.00  |5,138.00  |4,980.00  |5,108.00  |5,046.00  |46.00    |-16.00   |165       |22,680    |-17       |416.33      |
TA208 |5,078.00  |5,066.00  |5,206.00  |5,000.00  |5,140.00  |5,098.00  |62.00    |20.00    |41        |6,821     |-19       |104.51      |
TA209 |5,100.00  |5,060.00  |5,158.00  |4,998.00  |5,134.00  |5,084.00  |34.00    |-16.00   |3,183     |10,769    |-180      |8,091.20    |
TA210 |5,108.00  |5,038.00  |5,132.00  |5,038.00  |5,130.00  |5,112.00  |22.00    |4.00     |7         |16        |5         |17.89       |
TA211 |5,148.00  |0.00      |0.00      |0.00      |0.00      |5,148.00  |0.00     |0.00     |0         |0         |0         |0.00        |
小计    |          |          |          |          |          |          |         |         |1,990,457 |2,057,294 |-68,907   |4,950,466.74|
总计    |          |          |          |          |          |          |         |         |1,990,457 |2,057,294 |-68,907   |4,950,466.74|
