					郑州商品交易所期货每日行情表(2021-06-15)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA106 |4,590.00  |4,676.00  |4,684.00  |4,646.00  |4,646.00  |4,680.00  |56.00    |90.00    |1,774     |0         |-10,726   |4,151.08    |4,674.00      
TA107 |4,640.00  |4,702.00  |4,730.00  |4,646.00  |4,704.00  |4,688.00  |64.00    |48.00    |6,243     |44,409    |-2,642    |14,632.01   |
TA108 |4,662.00  |4,728.00  |4,762.00  |4,668.00  |4,730.00  |4,712.00  |68.00    |50.00    |80,793    |54,508    |-1,615    |190,298.68  |
TA109 |4,684.00  |4,752.00  |4,782.00  |4,688.00  |4,752.00  |4,732.00  |68.00    |48.00    |1,038,546 |1,624,585 |-19,194   |2,457,115.42|
TA110 |4,740.00  |4,816.00  |4,842.00  |4,748.00  |4,808.00  |4,782.00  |68.00    |42.00    |42,986    |179,503   |2,358     |102,787.55  |
TA111 |4,754.00  |4,858.00  |4,858.00  |4,762.00  |4,820.00  |4,794.00  |66.00    |40.00    |2,952     |14,937    |-289      |7,074.32    |
TA112 |4,766.00  |4,856.00  |4,858.00  |4,784.00  |4,836.00  |4,812.00  |70.00    |46.00    |104       |13,279    |-61       |250.24      |
TA201 |4,790.00  |4,858.00  |4,894.00  |4,796.00  |4,858.00  |4,842.00  |68.00    |52.00    |124,094   |431,196   |12,766    |300,429.62  |
TA202 |4,824.00  |4,902.00  |4,902.00  |4,828.00  |4,864.00  |4,858.00  |40.00    |34.00    |287       |40,854    |51        |697.05      |
TA203 |4,848.00  |4,906.00  |4,918.00  |4,838.00  |4,892.00  |4,886.00  |44.00    |38.00    |91        |32,696    |-20       |222.32      |
TA204 |4,866.00  |4,900.00  |4,900.00  |4,900.00  |4,900.00  |4,900.00  |34.00    |34.00    |1         |7,539     |0         |2.45        |
TA205 |4,874.00  |4,920.00  |4,954.00  |4,864.00  |4,916.00  |4,906.00  |42.00    |32.00    |1,052     |10,728    |191       |2,580.60    |
小计    |          |          |          |          |          |          |         |         |1,298,923 |2,454,234 |-19,181   |3,080,241.35|
总计    |          |          |          |          |          |          |         |         |1,298,923 |2,454,234 |-19,181   |3,080,241.35|
