					郑州商品交易所期货每日行情表(2021-12-14)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA112 |4,652.00  |4,638.00  |4,638.00  |4,578.00  |4,578.00  |4,590.00  |-74.00   |-62.00   |971       |0         |-21,879   |2,228.39    |4,546.00      
TA201 |4,664.00  |4,662.00  |4,684.00  |4,574.00  |4,618.00  |4,624.00  |-46.00   |-40.00   |258,743   |277,282   |-31,635   |598,273.98  |
TA202 |4,666.00  |4,656.00  |4,690.00  |4,574.00  |4,614.00  |4,620.00  |-52.00   |-46.00   |64,918    |249,290   |-2,579    |149,920.46  |
TA203 |4,672.00  |4,682.00  |4,702.00  |4,590.00  |4,634.00  |4,644.00  |-38.00   |-28.00   |115,775   |397,415   |-4,769    |268,809.64  |
TA204 |4,696.00  |4,696.00  |4,724.00  |4,616.00  |4,654.00  |4,656.00  |-42.00   |-40.00   |11,838    |28,392    |254       |27,557.97   |
TA205 |4,716.00  |4,722.00  |4,746.00  |4,636.00  |4,680.00  |4,684.00  |-36.00   |-32.00   |1,163,117 |990,830   |46,229    |2,723,740.13|
TA206 |4,740.00  |4,732.00  |4,754.00  |4,660.00  |4,690.00  |4,698.00  |-50.00   |-42.00   |71        |654       |2         |166.79      |
TA207 |4,730.00  |4,750.00  |4,772.00  |4,678.00  |4,710.00  |4,694.00  |-20.00   |-36.00   |625       |23,855    |-425      |1,466.48    |
TA208 |4,736.00  |4,784.00  |4,784.00  |4,698.00  |4,726.00  |4,706.00  |-10.00   |-30.00   |394       |13,705    |-339      |927.02      |
TA209 |4,772.00  |4,796.00  |4,800.00  |4,700.00  |4,740.00  |4,742.00  |-32.00   |-30.00   |15,731    |43,590    |3,110     |37,286.44   |
TA210 |4,866.00  |4,836.00  |4,836.00  |4,778.00  |4,802.00  |4,798.00  |-64.00   |-68.00   |17        |74        |2         |40.78       |
TA211 |4,890.00  |4,846.00  |4,846.00  |4,796.00  |4,814.00  |4,812.00  |-76.00   |-78.00   |15        |921       |-3        |36.08       |
小计    |          |          |          |          |          |          |         |         |1,632,215 |2,026,008 |-12,032   |3,810,454.17|
总计    |          |          |          |          |          |          |         |         |1,632,215 |2,026,008 |-12,032   |3,810,454.17|
