					郑州商品交易所期货每日行情表(2021-05-11)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA105 |4,834.00  |4,800.00  |4,800.00  |4,684.00  |4,686.00  |4,758.00  |-148.00  |-76.00   |2,454     |72,240    |-1,977    |5,836.52    |4,726.00      
TA106 |4,844.00  |4,832.00  |4,838.00  |4,698.00  |4,712.00  |4,776.00  |-132.00  |-68.00   |21,006    |33,548    |-3,196    |50,147.94   |
TA107 |4,870.00  |4,850.00  |4,864.00  |4,726.00  |4,734.00  |4,800.00  |-136.00  |-70.00   |219,131   |140,892   |-4,803    |525,787.72  |
TA108 |4,884.00  |4,874.00  |4,888.00  |4,754.00  |4,768.00  |4,818.00  |-116.00  |-66.00   |30,066    |15,201    |2,629     |72,418.29   |
TA109 |4,900.00  |4,896.00  |4,906.00  |4,774.00  |4,782.00  |4,838.00  |-118.00  |-62.00   |1,708,380 |1,874,104 |-3,378    |4,132,745.24|
TA110 |4,974.00  |4,962.00  |4,962.00  |4,852.00  |4,864.00  |4,906.00  |-110.00  |-68.00   |1,283     |6,925     |-47       |3,146.55    |
TA111 |4,906.00  |4,948.00  |4,950.00  |4,858.00  |4,860.00  |4,896.00  |-46.00   |-10.00   |144       |11,098    |-14       |352.54      |
TA112 |4,926.00  |4,924.00  |4,934.00  |4,872.00  |4,872.00  |4,920.00  |-54.00   |-6.00    |1,192     |19,374    |1,002     |2,931.74    |
TA201 |4,966.00  |4,968.00  |4,978.00  |4,866.00  |4,878.00  |4,920.00  |-88.00   |-46.00   |152,898   |371,051   |-209      |376,094.81  |
TA202 |4,968.00  |4,958.00  |4,998.00  |4,900.00  |4,902.00  |4,970.00  |-66.00   |2.00     |3,149     |36,379    |3,016     |7,825.04    |
TA203 |5,006.00  |4,972.00  |5,014.00  |4,920.00  |4,924.00  |4,972.00  |-82.00   |-34.00   |1,252     |23,461    |865       |3,111.63    |
TA204 |5,036.00  |5,002.00  |5,002.00  |4,942.00  |4,942.00  |4,980.00  |-94.00   |-56.00   |487       |4,420     |-478      |1,212.65    |
小计    |          |          |          |          |          |          |         |         |2,141,442 |2,608,693 |-6,590    |5,181,610.66|
总计    |          |          |          |          |          |          |         |         |2,141,442 |2,608,693 |-6,590    |5,181,610.66|
