					郑州商品交易所期货每日行情表(2022-01-04)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA201 |4,932.00  |4,940.00  |5,022.00  |4,934.00  |4,986.00  |4,968.00  |54.00    |36.00    |11,718    |54,868    |-9,611    |29,099.48   |4,808.00      
TA202 |4,948.00  |4,958.00  |5,032.00  |4,938.00  |4,996.00  |4,976.00  |48.00    |28.00    |55,944    |171,386   |-21,744   |139,136.12  |
TA203 |4,966.00  |4,962.00  |5,046.00  |4,950.00  |5,010.00  |4,992.00  |44.00    |26.00    |169,874   |425,156   |9,451     |424,007.15  |
TA204 |4,980.00  |4,984.00  |5,064.00  |4,970.00  |5,030.00  |5,012.00  |50.00    |32.00    |59,398    |65,881    |31,334    |148,839.60  |
TA205 |5,002.00  |5,018.00  |5,082.00  |4,984.00  |5,046.00  |5,032.00  |44.00    |30.00    |1,048,189 |1,185,751 |39,045    |2,637,263.86|
TA206 |5,008.00  |5,020.00  |5,086.00  |4,994.00  |5,052.00  |5,042.00  |44.00    |34.00    |3,816     |5,345     |2,867     |9,618.64    |
TA207 |5,028.00  |5,046.00  |5,100.00  |5,010.00  |5,052.00  |5,068.00  |24.00    |40.00    |150       |25,435    |-24       |380.07      |
TA208 |5,038.00  |5,062.00  |5,084.00  |5,044.00  |5,056.00  |5,072.00  |18.00    |34.00    |43        |16,142    |-22       |109.05      |
TA209 |5,042.00  |5,062.00  |5,110.00  |5,028.00  |5,080.00  |5,070.00  |38.00    |28.00    |18,725    |56,905    |2,849     |47,469.51   |
TA210 |5,100.00  |5,094.00  |5,140.00  |5,094.00  |5,122.00  |5,116.00  |22.00    |16.00    |7         |95        |-1        |17.91       |
TA211 |5,116.00  |5,116.00  |5,166.00  |5,116.00  |5,134.00  |5,146.00  |18.00    |30.00    |6         |992       |1         |15.44       |
TA212 |5,094.00  |0.00      |0.00      |0.00      |0.00      |5,126.00  |32.00    |32.00    |0         |4         |0         |0.00        |
小计    |          |          |          |          |          |          |         |         |1,367,870 |2,007,960 |54,145    |3,435,956.83|
总计    |          |          |          |          |          |          |         |         |1,367,870 |2,007,960 |54,145    |3,435,956.83|
