					郑州商品交易所期货每日行情表(2021-11-04)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA111 |5,080.00  |4,982.00  |5,018.00  |4,922.00  |4,942.00  |4,964.00  |-138.00  |-116.00  |1,696     |38,895    |60        |4,209.69    |5,208.00      
TA112 |5,132.00  |5,028.00  |5,042.00  |4,950.00  |4,976.00  |4,996.00  |-156.00  |-136.00  |34,640    |95,813    |-17,397   |86,520.36   |
TA201 |5,152.00  |5,050.00  |5,072.00  |4,974.00  |5,002.00  |5,020.00  |-150.00  |-132.00  |1,997,921 |1,142,044 |-7,824    |5,014,715.88|
TA202 |5,148.00  |5,054.00  |5,094.00  |4,988.00  |5,024.00  |5,038.00  |-124.00  |-110.00  |91,036    |368,300   |572       |229,324.73  |
TA203 |5,156.00  |5,078.00  |5,118.00  |5,014.00  |5,042.00  |5,060.00  |-114.00  |-96.00   |179,745   |227,012   |8,077     |454,782.87  |
TA204 |5,168.00  |5,098.00  |5,130.00  |5,034.00  |5,068.00  |5,078.00  |-100.00  |-90.00   |4,236     |20,985    |-198      |10,755.55   |
TA205 |5,212.00  |5,120.00  |5,148.00  |5,050.00  |5,086.00  |5,096.00  |-126.00  |-116.00  |209,350   |240,206   |4,069     |533,430.59  |
TA206 |5,152.00  |5,100.00  |5,126.00  |5,046.00  |5,080.00  |5,086.00  |-72.00   |-66.00   |103       |2,452     |-3        |261.87      |
TA207 |5,204.00  |5,118.00  |5,164.00  |5,072.00  |5,098.00  |5,116.00  |-106.00  |-88.00   |358       |19,178    |-58       |915.62      |
TA208 |5,166.00  |5,130.00  |5,174.00  |5,088.00  |5,116.00  |5,126.00  |-50.00   |-40.00   |18        |4,827     |0         |46.13       |
TA209 |5,234.00  |5,162.00  |5,178.00  |5,082.00  |5,120.00  |5,130.00  |-114.00  |-104.00  |3,774     |7,170     |169       |9,678.52    |
TA210 |5,282.00  |5,134.00  |5,134.00  |5,134.00  |5,134.00  |5,134.00  |-148.00  |-148.00  |1         |10        |-1        |2.57        |
小计    |          |          |          |          |          |          |         |         |2,522,878 |2,166,892 |-12,534   |6,344,644.37|
总计    |          |          |          |          |          |          |         |         |2,522,878 |2,166,892 |-12,534   |6,344,644.37|
