					郑州商品交易所期货每日行情表(2021-11-24)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA112 |4,806.00  |4,812.00  |4,920.00  |4,810.00  |4,892.00  |4,850.00  |86.00    |44.00    |3,716     |25,712    |-3,046    |9,010.41    |
TA201 |4,822.00  |4,836.00  |4,940.00  |4,828.00  |4,908.00  |4,898.00  |86.00    |76.00    |1,224,409 |894,125   |-69,787   |2,998,783.28|
TA202 |4,852.00  |4,850.00  |4,968.00  |4,850.00  |4,938.00  |4,926.00  |86.00    |74.00    |66,499    |340,972   |-4,564    |163,776.98  |
TA203 |4,878.00  |4,896.00  |4,990.00  |4,880.00  |4,962.00  |4,948.00  |84.00    |70.00    |129,328   |428,204   |8,850     |319,933.45  |
TA204 |4,902.00  |4,918.00  |5,012.00  |4,908.00  |4,982.00  |4,972.00  |80.00    |70.00    |4,250     |29,902    |68        |10,563.41   |
TA205 |4,930.00  |4,926.00  |5,040.00  |4,926.00  |5,012.00  |5,002.00  |82.00    |72.00    |235,085   |363,722   |14,087    |587,807.28  |
TA206 |4,932.00  |4,954.00  |5,028.00  |4,954.00  |5,012.00  |5,004.00  |80.00    |72.00    |16        |2,185     |3         |40.04       |
TA207 |4,956.00  |4,970.00  |5,060.00  |4,970.00  |5,060.00  |5,026.00  |104.00   |70.00    |25        |22,866    |9         |62.81       |
TA208 |4,962.00  |5,000.00  |5,074.00  |5,000.00  |5,042.00  |5,028.00  |80.00    |66.00    |29        |8,360     |12        |72.90       |
TA209 |4,984.00  |4,990.00  |5,090.00  |4,990.00  |5,062.00  |5,058.00  |78.00    |74.00    |2,065     |15,538    |144       |5,221.32    |
TA210 |5,016.00  |5,044.00  |5,112.00  |5,044.00  |5,110.00  |5,100.00  |94.00    |84.00    |13        |43        |9         |33.15       |
TA211 |5,030.00  |5,078.00  |5,156.00  |5,078.00  |5,138.00  |5,128.00  |108.00   |98.00    |5         |898       |2         |12.82       |
小计    |          |          |          |          |          |          |         |         |1,665,440 |2,132,527 |-54,213   |4,095,317.84|
总计    |          |          |          |          |          |          |         |         |1,665,440 |2,132,527 |-54,213   |4,095,317.84|
