					郑州商品交易所期货每日行情表(2021-11-26)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA112 |4,920.00  |4,968.00  |4,968.00  |4,778.00  |4,782.00  |4,878.00  |-138.00  |-42.00   |2,720     |21,277    |-2,081    |6,632.34    |
TA201 |4,954.00  |4,976.00  |4,976.00  |4,794.00  |4,796.00  |4,870.00  |-158.00  |-84.00   |1,174,780 |880,292   |30,522    |2,860,778.29|
TA202 |4,986.00  |4,992.00  |5,002.00  |4,822.00  |4,826.00  |4,910.00  |-160.00  |-76.00   |59,701    |341,567   |4,178     |146,573.16  |
TA203 |5,004.00  |5,036.00  |5,036.00  |4,848.00  |4,852.00  |4,928.00  |-152.00  |-76.00   |101,019   |425,994   |9,679     |248,932.84  |
TA204 |5,028.00  |5,044.00  |5,044.00  |4,876.00  |4,884.00  |4,984.00  |-144.00  |-44.00   |4,154     |31,477    |1,664     |10,350.10   |
TA205 |5,056.00  |5,080.00  |5,082.00  |4,902.00  |4,904.00  |4,980.00  |-152.00  |-76.00   |269,759   |399,974   |35,921    |671,706.76  |
TA206 |5,072.00  |5,024.00  |5,024.00  |4,912.00  |4,920.00  |4,948.00  |-152.00  |-124.00  |20        |2,191     |8         |49.47       |
TA207 |5,080.00  |5,060.00  |5,060.00  |4,932.00  |4,938.00  |5,000.00  |-142.00  |-80.00   |121       |22,866    |45        |302.44      |
TA208 |5,088.00  |5,052.00  |5,052.00  |4,948.00  |4,950.00  |4,976.00  |-138.00  |-112.00  |53        |8,379     |19        |131.86      |
TA209 |5,110.00  |5,126.00  |5,126.00  |4,966.00  |4,968.00  |5,046.00  |-142.00  |-64.00   |4,090     |17,268    |1,724     |10,316.90   |
TA210 |5,108.00  |5,090.00  |5,108.00  |5,090.00  |5,108.00  |5,100.00  |0.00     |-8.00    |2         |42        |-1        |5.10        |
TA211 |5,136.00  |5,118.00  |5,124.00  |5,038.00  |5,038.00  |5,090.00  |-98.00   |-46.00   |17        |897       |-4        |43.27       |
小计    |          |          |          |          |          |          |         |         |1,616,436 |2,152,224 |81,674    |3,955,822.53|
总计    |          |          |          |          |          |          |         |         |1,616,436 |2,152,224 |81,674    |3,955,822.53|
