					郑州商品交易所期货每日行情表(2021-03-11)
品种月份|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA103   |4,402.00  |4,410.00  |4,470.00  |4,368.00  |4,470.00  |4,404.00  |68.00    |2.00     |835       |28,235    |664       |1,838.81    |4,588.00
TA104   |4,514.00  |4,430.00  |4,514.00  |4,380.00  |4,502.00  |4,432.00  |-12.00   |-82.00   |2,567     |9,329     |-10       |5,687.31    |
TA105   |4,512.00  |4,470.00  |4,556.00  |4,410.00  |4,538.00  |4,464.00  |26.00    |-48.00   |1,595,961 |1,591,626 |-94,539   |3,561,423.49|
TA106   |4,574.00  |4,508.00  |4,588.00  |4,442.00  |4,574.00  |4,492.00  |0.00     |-82.00   |251,612   |30,706    |-9,954    |565,156.15  |
TA107   |4,582.00  |4,522.00  |4,608.00  |4,464.00  |4,592.00  |4,514.00  |10.00    |-68.00   |73,135    |20,667    |-54       |165,069.66  |
TA108   |4,586.00  |4,538.00  |4,622.00  |4,484.00  |4,610.00  |4,532.00  |24.00    |-54.00   |8,269     |1,407     |-495      |18,733.02   |
TA109   |4,598.00  |4,550.00  |4,638.00  |4,496.00  |4,620.00  |4,550.00  |22.00    |-48.00   |584,429   |1,026,552 |-18,845   |1,329,660.19|
TA110   |4,738.00  |4,704.00  |4,768.00  |4,644.00  |4,758.00  |4,692.00  |20.00    |-46.00   |657       |13,274    |36        |1,541.45    |
TA111   |4,694.00  |4,682.00  |4,768.00  |4,648.00  |4,766.00  |4,684.00  |72.00    |-10.00   |2,762     |19,145    |2,250     |6,468.37    |
TA112   |4,742.00  |4,708.00  |4,778.00  |4,660.00  |4,778.00  |4,718.00  |36.00    |-24.00   |207       |16,549    |61        |488.18      |
TA201   |4,770.00  |4,724.00  |4,792.00  |4,656.00  |4,778.00  |4,714.00  |8.00     |-56.00   |20,328    |112,472   |1,077     |47,910.20   |
TA202   |4,864.00  |4,742.00  |4,810.00  |4,690.00  |4,806.00  |4,736.00  |-58.00   |-128.00  |297       |8,182     |201       |703.17      |
小计    |          |          |          |          |          |          |         |         |2,541,059 |2,878,144 |-119,608  |5,704,679.97|
总计    |          |          |          |          |          |          |         |         |2,541,059 |2,878,144 |-119,608  |5,704,679.97|

