					郑州商品交易所期货每日行情表(2021-09-03)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA109 |4,756.00  |4,702.00  |4,810.00  |4,702.00  |4,792.00  |4,776.00  |36.00    |20.00    |5,065     |45,658    |-48       |12,094.24   |4,880.00      
TA110 |4,838.00  |4,810.00  |4,912.00  |4,810.00  |4,904.00  |4,870.00  |66.00    |32.00    |110,819   |175,790   |-2,377    |271,240.62  |
TA111 |4,852.00  |4,834.00  |4,924.00  |4,828.00  |4,920.00  |4,886.00  |68.00    |34.00    |186,502   |414,946   |18,359    |455,501.41  |
TA112 |4,856.00  |4,842.00  |4,930.00  |4,836.00  |4,926.00  |4,888.00  |70.00    |32.00    |67,274    |133,405   |21,326    |164,420.18  |
TA201 |4,866.00  |4,844.00  |4,940.00  |4,844.00  |4,934.00  |4,896.00  |68.00    |30.00    |1,617,052 |1,470,478 |-131,810  |3,958,404.86|
TA202 |4,834.00  |4,838.00  |4,914.00  |4,836.00  |4,912.00  |4,878.00  |78.00    |44.00    |779       |28,476    |-26       |1,899.68    |
TA203 |4,840.00  |4,834.00  |4,908.00  |4,830.00  |4,906.00  |4,870.00  |66.00    |30.00    |1,984     |49,041    |984       |4,830.01    |
TA204 |4,840.00  |4,850.00  |4,916.00  |4,822.00  |4,904.00  |4,864.00  |64.00    |24.00    |3,326     |13,765    |3,081     |8,087.84    |
TA205 |4,846.00  |4,834.00  |4,922.00  |4,834.00  |4,916.00  |4,880.00  |70.00    |34.00    |34,431    |168,927   |371       |84,007.79   |
TA206 |4,872.00  |4,884.00  |4,928.00  |4,872.00  |4,902.00  |4,882.00  |30.00    |10.00    |1,116     |3,636     |1,080     |2,724.08    |
TA207 |4,864.00  |4,894.00  |4,942.00  |4,848.00  |4,918.00  |4,898.00  |54.00    |34.00    |7,098     |10,277    |7,052     |17,381.69   |
TA208 |4,876.00  |4,936.00  |4,952.00  |4,910.00  |4,952.00  |4,930.00  |76.00    |54.00    |4         |70        |-1        |9.86        |
小计    |          |          |          |          |          |          |         |         |2,035,450 |2,514,469 |-82,009   |4,980,602.26|
总计    |          |          |          |          |          |          |         |         |2,035,450 |2,514,469 |-82,009   |4,980,602.26|
