					郑州商品交易所期货每日行情表(2021-06-29)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA107 |5,138.00  |5,178.00  |5,178.00  |4,984.00  |5,000.00  |5,076.00  |-138.00  |-62.00   |12,751    |54,366    |-3,022    |32,361.29   |
TA108 |5,162.00  |5,194.00  |5,200.00  |5,010.00  |5,026.00  |5,094.00  |-136.00  |-68.00   |157,798   |68,361    |1,802     |401,826.65  |
TA109 |5,174.00  |5,200.00  |5,212.00  |5,026.00  |5,044.00  |5,108.00  |-130.00  |-66.00   |2,280,987 |1,903,927 |-141,932  |5,824,839.28|
TA110 |5,230.00  |5,258.00  |5,272.00  |5,076.00  |5,078.00  |5,174.00  |-152.00  |-56.00   |75,088    |191,395   |-571      |194,228.05  |
TA111 |5,204.00  |5,242.00  |5,250.00  |5,060.00  |5,070.00  |5,130.00  |-134.00  |-74.00   |4,230     |17,700    |116       |10,848.33   |
TA112 |5,196.00  |5,250.00  |5,252.00  |5,070.00  |5,072.00  |5,142.00  |-124.00  |-54.00   |166       |13,256    |3         |426.78      |
TA201 |5,214.00  |5,300.00  |5,300.00  |5,072.00  |5,086.00  |5,164.00  |-128.00  |-50.00   |287,153   |589,230   |10,668    |742,077.53  |
TA202 |5,204.00  |5,274.00  |5,280.00  |5,100.00  |5,100.00  |5,186.00  |-104.00  |-18.00   |192       |35,736    |57        |497.90      |
TA203 |5,270.00  |5,292.00  |5,336.00  |5,112.00  |5,122.00  |5,170.00  |-148.00  |-100.00  |1,067     |31,991    |483       |2,758.03    |
TA204 |5,266.00  |5,258.00  |5,330.00  |5,114.00  |5,122.00  |5,184.00  |-144.00  |-82.00   |15        |7,130     |5         |38.88       |
TA205 |5,272.00  |5,280.00  |5,286.00  |5,114.00  |5,124.00  |5,192.00  |-148.00  |-80.00   |10,877    |21,617    |3,332     |28,232.51   |
TA206 |5,268.00  |5,286.00  |5,286.00  |5,144.00  |5,192.00  |5,196.00  |-76.00   |-72.00   |15        |137       |4         |38.97       |
小计    |          |          |          |          |          |          |         |         |2,830,339 |2,934,846 |-129,055  |7,238,174.19|
总计    |          |          |          |          |          |          |         |         |2,830,339 |2,934,846 |-129,055  |7,238,174.19|
