					郑州商品交易所期货每日行情表(2021-03-18)
品种月份|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA104   |4,458.00  |4,450.00  |4,534.00  |4,450.00  |4,534.00  |4,506.00  |76.00    |48.00    |217       |9,151     |-16       |488.92      |
TA105   |4,496.00  |4,506.00  |4,576.00  |4,476.00  |4,562.00  |4,532.00  |66.00    |36.00    |1,294,829 |1,445,260 |-14,952   |2,933,904.75|
TA106   |4,522.00  |4,542.00  |4,608.00  |4,508.00  |4,590.00  |4,562.00  |68.00    |40.00    |226,574   |42,712    |-1,921    |516,830.97  |
TA107   |4,546.00  |4,558.00  |4,628.00  |4,534.00  |4,614.00  |4,586.00  |68.00    |40.00    |71,143    |26,291    |-305      |163,111.52  |
TA108   |4,568.00  |4,584.00  |4,644.00  |4,554.00  |4,630.00  |4,598.00  |62.00    |30.00    |11,344    |3,010     |1,528     |26,074.32   |
TA109   |4,590.00  |4,600.00  |4,652.00  |4,566.00  |4,642.00  |4,616.00  |52.00    |26.00    |591,320   |1,117,887 |34        |1,364,743.64|
TA110   |4,710.00  |4,728.00  |4,768.00  |4,692.00  |4,764.00  |4,736.00  |54.00    |26.00    |2,051     |8,569     |1,702     |4,856.69    |
TA111   |4,708.00  |4,744.00  |4,768.00  |4,694.00  |4,764.00  |4,732.00  |56.00    |24.00    |1,847     |13,995    |1,603     |4,370.27    |
TA112   |4,640.00  |4,762.00  |4,782.00  |4,704.00  |4,780.00  |4,748.00  |140.00   |108.00   |1,878     |6,493     |1,619     |4,458.61    |
TA201   |4,744.00  |4,750.00  |4,798.00  |4,710.00  |4,784.00  |4,758.00  |40.00    |14.00    |13,546    |128,369   |2,242     |32,224.83   |
TA202   |4,784.00  |4,780.00  |4,812.00  |4,734.00  |4,802.00  |4,780.00  |18.00    |-4.00    |2,701     |16,256    |2,572     |6,454.16    |
TA203   |4,682.00  |0.00      |0.00      |0.00      |0.00      |4,812.00  |130.00   |130.00   |0         |2,007     |0         |0.00        |
小计    |          |          |          |          |          |          |         |         |2,217,450 |2,820,000 |-5,894    |5,057,518.65|
总计    |          |          |          |          |          |          |         |         |2,217,450 |2,820,000 |-5,894    |5,057,518.65|

