					郑州商品交易所期货每日行情表(2021-10-20)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA110 |5,472.00  |5,410.00  |5,410.00  |5,250.00  |5,400.00  |5,346.00  |-72.00   |-126.00  |1,893     |35,759    |-206      |5,060.04    |5,364.00      
TA111 |5,506.00  |5,466.00  |5,466.00  |5,276.00  |5,392.00  |5,362.00  |-114.00  |-144.00  |16,590    |83,435    |-6,797    |44,480.91   |
TA112 |5,514.00  |5,508.00  |5,508.00  |5,308.00  |5,418.00  |5,386.00  |-96.00   |-128.00  |207,375   |250,263   |-3,068    |558,498.43  |
TA201 |5,530.00  |5,520.00  |5,522.00  |5,332.00  |5,440.00  |5,410.00  |-90.00   |-120.00  |2,353,215 |1,256,934 |-65,951   |6,364,755.74|
TA202 |5,532.00  |5,526.00  |5,526.00  |5,336.00  |5,432.00  |5,406.00  |-100.00  |-126.00  |75,917    |271,639   |4,320     |205,167.18  |
TA203 |5,506.00  |5,518.00  |5,518.00  |5,330.00  |5,426.00  |5,402.00  |-80.00   |-104.00  |21,602    |85,102    |1,616     |58,344.77   |
TA204 |5,540.00  |5,492.00  |5,504.00  |5,366.00  |5,458.00  |5,408.00  |-82.00   |-132.00  |385       |20,476    |1         |1,040.80    |
TA205 |5,534.00  |5,540.00  |5,540.00  |5,364.00  |5,454.00  |5,436.00  |-80.00   |-98.00   |177,670   |200,163   |-6,327    |482,849.84  |
TA206 |5,534.00  |5,508.00  |5,518.00  |5,362.00  |5,466.00  |5,426.00  |-68.00   |-108.00  |113       |2,781     |-28       |306.54      |
TA207 |5,556.00  |5,532.00  |5,532.00  |5,374.00  |5,484.00  |5,432.00  |-72.00   |-124.00  |263       |20,080    |-71       |714.21      |
TA208 |5,564.00  |5,550.00  |5,550.00  |5,404.00  |5,484.00  |5,464.00  |-80.00   |-100.00  |46        |4,842     |-4        |125.66      |
TA209 |5,554.00  |5,540.00  |5,560.00  |5,394.00  |5,474.00  |5,452.00  |-80.00   |-102.00  |2,948     |3,877     |188       |8,035.06    |
小计    |          |          |          |          |          |          |         |         |2,858,017 |2,235,351 |-76,327   |7,729,379.19|
总计    |          |          |          |          |          |          |         |         |2,858,017 |2,235,351 |-76,327   |7,729,379.19|
